date,Rainfall amount (millimetres),Minimum temperature (Degree C),Maximum temperature (Degree C),Daily global solar exposure (MJ/m*m),Total_Pedestrian_Count_per_day
2015-11-11 00:00:00,2.8,11.5,20.1,16.0,640890
2015-11-12 00:00:00,0.0,13.7,21.2,19.2,688901
2015-11-13 00:00:00,0.4,13.5,18.2,26.1,767005
2015-11-14 00:00:00,0.2,12.1,18.3,27.5,597169
2015-11-15 00:00:00,0.2,13.0,18.5,27.6,540609
2015-11-16 00:00:00,0.0,11.4,26.3,29.4,652123
2015-11-17 00:00:00,0.0,15.7,33.3,24.0,649510
2015-11-18 00:00:00,0.0,14.7,29.5,29.2,686578
2015-11-19 00:00:00,0.0,15.6,31.5,20.6,696855
2015-11-20 00:00:00,1.0,15.4,19.1,6.4,692160
2015-11-21 00:00:00,3.4,12.2,17.5,20.9,566248
2015-11-22 00:00:00,0.0,13.5,20.0,27.3,499809
2015-11-23 00:00:00,0.0,13.8,20.7,27.3,641411
2015-11-24 00:00:00,0.0,13.6,24.5,30.0,653772
2015-11-25 00:00:00,0.0,13.5,33.3,9.3,652086
2015-11-26 00:00:00,0.0,10.8,17.4,23.3,628438
2015-11-27 00:00:00,0.6,9.0,18.2,16.8,775820
2015-11-28 00:00:00,0.0,12.0,20.1,27.1,651564
2015-11-29 00:00:00,0.0,12.6,20.3,23.4,527324
2015-11-30 00:00:00,0.0,10.0,32.2,26.6,615659
2015-12-01 00:00:00,1.8,14.5,24.6,24.4,625150
2015-12-02 00:00:00,0.0,9.2,17.5,32.4,649315
2015-12-03 00:00:00,0.0,12.2,21.3,30.1,668547
2015-12-04 00:00:00,0.0,11.3,30.8,32.2,776975
2015-12-05 00:00:00,0.0,15.5,25.3,27.9,665767
2015-12-06 00:00:00,0.0,15.3,29.8,13.5,619551
2015-12-07 00:00:00,0.0,18.1,27.3,8.7,639904
2015-12-08 00:00:00,1.0,20.3,35.4,19.8,659590
2015-12-09 00:00:00,0.0,15.4,24.6,27.0,706915
2015-12-10 00:00:00,0.0,13.1,26.0,32.0,739517
2015-12-11 00:00:00,0.0,14.2,19.2,13.0,744363
2015-12-12 00:00:00,2.4,10.1,18.3,27.9,643844
2015-12-13 00:00:00,0.0,10.3,28.3,28.6,554435
2015-12-14 00:00:00,0.0,11.9,22.7,31.6,673310
2015-12-15 00:00:00,0.0,14.4,24.6,30.3,690976
2015-12-16 00:00:00,0.0,15.6,27.5,32.5,734011
2015-12-17 00:00:00,0.0,16.9,37.2,33.1,687276
2015-12-18 00:00:00,0.0,19.4,35.4,31.2,729509
2015-12-19 00:00:00,0.0,19.2,41.2,20.5,483554
2015-12-20 00:00:00,0.0,25.9,37.8,10.4,432209
2015-12-21 00:00:00,nan,15.0,20.2,25.4,702929
2015-12-22 00:00:00,0.0,12.0,22.8,32.9,744859
2015-12-23 00:00:00,0.0,15.1,26.0,32.4,755818
2015-12-24 00:00:00,0.0,16.7,34.6,32.8,601562
2015-12-25 00:00:00,0.0,21.7,34.1,33.3,354165
2015-12-26 00:00:00,28.6,12.7,20.0,19.2,598849
2015-12-27 00:00:00,4.0,11.9,19.4,27.6,577904
2015-12-28 00:00:00,0.0,12.8,20.8,33.2,578703
2015-12-29 00:00:00,0.0,12.4,23.9,33.0,564212
2015-12-30 00:00:00,0.0,13.9,34.7,32.8,490025
2015-12-31 00:00:00,0.0,19.7,39.7,29.6,540633
