Asset Type,Name,Xorg,Xsource,Address Point,Artist,Alternate Name,Art Date,Mel way Ref,Respective Author,Structure,Co-ordinates,Easting,Northing
Monument,William Ievers Junior Memorial Drinking Fountain,City of Melbourne,MCC - Ortho Image March 2005 - Final,"80 Rathdowne Street, CARLTON",Charles Douglas Richardson,,1916,2B_H7,City Of Melbourne,"Granite, marble and bluestone drinking fountain","-37.7982578658973, 144.970564664826",321324.603,5814628.456
Monument,South African War Memorial,City of Melbourne,MCC - Ortho Image March 2005 - Final,"254 St Kilda Road, SOUTHBANK",Architect - G. De Lacy-Evans Sculptor - Joseph Hamilton,"Memorial to Fallen Soldiers, and Monument to the 5th Victorian Contingent",1904,2F_J10,City Of Melbourne,Sandstone and bluestone sculpture,"-37.8259414951225, 144.971856818756",321505.073,5811558.986
Monument,Burke and Wills Cairn,City of Melbourne,MCC - Ortho Image March 2005 - Final,"6 The Avenue, PARKVILLE",unknown,,1890,2B_B2,City Of Melbourne,Stone cairn,"-37.7889280817664, 144.956058081184",320024.638,5815635.904
Art,Federation Bells,City of Melbourne,MCC - Ground Ortho Image March 2008,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,,2002,2F_ K6,City of Melbourne,Bronze-alloy bells on galvanised-steel poles,"-37.8186610069437, 144.97413082954",321687.70292,5812371.21712
Art,Ned and Dan,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"41 Caravel Lane, DOCKLANDS",Alexander Knox,,2006,2E_E4,VicUrban,Three-dimensional frieze,"-37.81464277494, 144.940402722846",318708.884,5812752.174
Art,HeartLand,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"52 River Esplanade, DOCKLANDS",Karen Casey,,2003,2E_H9,VicUrban,Animated Image,"-37.8243371974094, 144.947619116755",319367.797,5811690.401
Art,Feng Shui,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"698 Collins Street, DOCKLANDS",Guan Wei,,2003,2E_H7,VicUrban,Multi-panel painting,"-37.8198227493892, 144.951104886543",319663.626,5812198.09
Fountain,Grant's Fountain,City of Melbourne,MCC - Ortho Image March 2005 - Final,"353 Exhibition Street, MELBOURNE",unknown,,1901,2B_G12,City Of Melbourne,Stone fountain,"-37.8074703867589, 144.968593306036",321173.248,5813602.409
Art,Lie of the Land,City of Melbourne,MCC - Ortho Image March 2005 - Final,"IMAX Theatre, Rathdowne Street, CARLTON",Fiona Foley and Chris Knowles,,1997,2B-J10,City Of Melbourne,Sandstone sculpture,"-37.8037692024891, 144.972134286246",321476.083,5814019.886
Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,"-37.8201003379632, 144.959547579868",320407.47298,5812183.55648
Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,"-37.8201540531024, 144.959283942501",320384.39644,5812177.08889
Fountain,Grey Street Fountain,City of Melbourne,MCC - Ortho Image March 2005 - Final,"162 Clarendon Street, EAST MELBOURNE",unknown,,1863,2G_D2,City Of Melbourne,Cement fountain,"-37.8115435409616, 144.982950898766",322447.051,5813177.816
Fountain,Georges Fountain,City of Melbourne,MCC - Ortho Image March 2005 - Final,"152 Collins Street, MELBOURNE",Peter Staughton,,1981,2F_G4,City Of Melbourne,Bluestone and concrete fountain,"-37.8147653368517, 144.968373912562",321171.537,5812792.497
Art,People's Path,City of Melbourne,MCC - Ortho Image March 2005 - Final,"4 Lansdowne Street, EAST MELBOURNE",Ian Sprague et al,,1978-1979,2G_B2,City Of Melbourne,Terracotta bricks (tiles),"-37.8110235407409, 144.978389216138",322044.214,5813226.837
Art,Silence,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"50 Newquay Promenade, DOCKLANDS",Adrian Mauriks,,2003,2E_E4,VicUrban,Sculpture,"-37.8150603527985, 144.941593770341",318814.756,5812708.148
Art,Silence,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"55B Newquay Promenade, DOCKLANDS",Adrian Mauriks,,2003,2E_E4,VicUrban,Sculpture,"-37.8151593795233, 144.941509412449",318807.572,5812696.996
Monument,Samuel Mauger Drinking Fountain,City of Melbourne,MCC - Ortho Image March 2005 - Final,"110 Victoria Parade, EAST MELBOURNE",unknown,,1937,2B_K12,City Of Melbourne,Granite drinking fountain,"-37.8082489459354, 144.975315385075",321766.934,5813528.862
Monument,Robert Burns Memorial,City of Melbourne,MCC - Ortho Image March 2005 - Final,"10 Spring Street, EAST MELBOURNE",George Anderson Lawson,,1903,2F_K4,City Of Melbourne,Bronze statue and plinth with granite pedestal,"-37.814373582353, 144.974720032667",321729.253,5812848.1
Art,The Echo,City of Melbourne,MCC - Ortho Image March 2005 - Final,"219 Swanston Street, MELBOURNE",Edward Ginger,,1996,2F_F3,City Of Melbourne,Steel plate sculpture with polyurethane paint,"-37.812705684744, 144.965153944033",320883.1,5813014.879
Art,Silence,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"55B Newquay Promenade, DOCKLANDS",Adrian Mauriks,,2003,2E_E4,VicUrban,Sculpture,"-37.8150877523684, 144.941573967784",318813.079,5812705.07
Art,Silence,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"55B Newquay Promenade, DOCKLANDS",Adrian Mauriks,,2003,2E_E4,VicUrban,Sculpture,"-37.81508276715, 144.941482783904",318805.04,5812705.446
Art,Silence,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"50 Newquay Promenade, DOCKLANDS",Adrian Mauriks,,2003,2E_E4,VicUrban,Sculpture,"-37.8150528491189, 144.94158776112",318814.208,5812708.969
Art,Silence,VicUrban (Docklands),AAM Hatch Photogrammetry - March 2005,"45 Newquay Promenade, DOCKLANDS",Adrian Mauriks,,2003,2E_E4,VicUrban,Sculpture,"-37.8151131017782, 144.941629273114",318818.01,5812702.364
Art,Birrarung Wilam,City of Melbourne,MCC - Ground Ortho Image March 2008,"Birrarung Marr, MELBOURNE","Vicki Couzens, Lee Darroch and Treahna Hamm",,2006,2F_ H6,City of Melbourne,"Stone, wood, stainless steel, bronze, nickel and audio installation","-37.818595693813, 144.971821646868",321484.27541,5812374.05334
Art,Boy on a Turtle,City of Melbourne,MCC - Ortho Image March 2005 - Final,"Cook's Cottage, Fitzroy Gardens, 274 Wellington Parade, EAST MELBOURNE",unknown,,c. 1850,2G_B4,City Of Melbourne,Bronze statue,"-37.8143892616922, 144.979910150531",322186.187,5812856.254
Fountain,Boy and Urn,City of Melbourne,MCC - Ortho Image March 2005 - Final,"4 Lansdowne Street, EAST MELBOURNE",unknown,,unknown,2G_B2,City Of Melbourne,Bronze fountain,"-37.8121217645873, 144.97970321858",322162.529,5813107.474
Art,Federation Bells,City of Melbourne,MCC - Ground Ortho Image March 2008,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,,2002,2F_ K6,City of Melbourne,Bronze-alloy bells on galvanised-steel poles,"-37.8187023628084, 144.974201916576",321694.06002,5812366.76375
Art,Weathervanes,City of Melbourne,MCC - Ortho Image March 2005 - Final,"184 Swanston Street, MELBOURNE",Daniel Jenkins,,1993,2F_F3,City Of Melbourne,Hand-beaten copper sculpture with gold-leaf detail,"-37.8134422577685, 144.965689009116",320931.983,5812934.17
Fountain,Conservatory Fountain,City of Melbourne,MCC - Ortho Image March 2005 - Final,"Conservatory, Fitzroy Gardens, 274 Wellington Parade, EAST MELBOURNE",unknown,"Boy with Serpent, and Ornamental Fountain",c. 1900,2G_B3,City Of Melbourne,Cast-iron and granite drinking fountain,"-37.8138743431045, 144.978595506099",322069.22,5812910.888
Art,Constellation,City of Melbourne,MCC - Ortho Image March 2005 - Final,"469 Flinders Street, MELBOURNE",Bruce Armstrong and Geoffrey Bartlett,,1996,2F_D7,City Of Melbourne,"Stainless steel, copper and Cyrpus-pine sculpture","-37.8202999349125, 144.960534464342",320494.827,5812163.305
Art,Maxims of Behaviour,City of Melbourne,MCC - Ground Ortho Image March 2008,"Royal Mail House, cnr Bourke & Swanston Sts, MELBOURNE",Alexander Knox,,2008,2F_F3,City of Melbourne,Kinetic light installation,"-37.8136024551412, 144.965808885624",320942.92361,5812916.62363
Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,"-37.82012299082, 144.959360068025",320391.0221,5812180.68216
Art,Blowhole,Beveridge Williams Surveyors,Field Survey,"13 Harbour Esplanade, DOCKLANDS",Duncan Stemler,,2005,2E_G8,City of Melbourne,Stainless-steel and aluminium sculpture,"-37.8219853561923, 144.946774675143",319287.731,5811949.743
Monument,"Sir Edward ""Weary"" Dunlop",City of Melbourne,MCC - Ortho Image March 2005 - Final,"242 St Kilda Road, SOUTHBANK",Peter Corlett,,1995,2F_J10,City Of Melbourne,Bronze statue with granite pedestal,"-37.8253098347073, 144.971594300075",321480.444,5811628.577
Art,Within Three Worlds,City of Melbourne,MCC - Ortho Image March 2005 - Final,"684 Park Street, CARLTON NORTH",Loretta Quinn,,1995,29_G10,City Of Melbourne,Bronze sculpture,"-37.7788627462445, 144.961112677408",320445.396,5816762.533
Art,Art Wall,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"156 Harbour Esplanade, DOCKLANDS",Peter D. Cole,,2000,2E_G4,VicUrban,3D Installation,"-37.8158205285983, 144.946136474106",319216.512,5812632.597
Art,Art Wall,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"160 Harbour Esplanade, DOCKLANDS",Peter D. Cole,,2000,2E_G4,VicUrban,3D Installation,"-37.8156948270259, 144.946202651563",319222.03,5812646.674
Art,IOU,Beveridge Williams Surveyors,Field Survey,"9 Waterview Walk, DOCKLANDS",Mikala Dwyer,,2005,2E_H7,VicUrban,Stainless steel and toughened glass,"-37.8200830017644, 144.947894374833",319381.652,5812163.007
Fountain,Dolphin Fountain,City of Melbourne,MCC - Ortho Image March 2005 - Final,"4 Lansdowne Street, EAST MELBOURNE",June Arnold,,1982,2G_B2,City Of Melbourne,Bronze and granite fountain,"-37.8118884344659, 144.980015806146",322189.487,5813133.961
Art,Eagle,VicUrban (Docklands),AAM Hatch Photogrammetry - March 2005,"22 Wurundjeri Way, DOCKLANDS",Bruce Armstrong,,2003,2E_K7,VicUrban,Sculpture,"-37.8207247436456, 144.952391322514",319779.06,5812100.482
Monument,Duke and Duchess of York Memorial,City of Melbourne,MCC - Ortho Image March 2005 - Final,"512 Elizabeth Street, MELBOURNE",J. Churchman & Sons,Temperance,1901,"2B,_C11",City Of Melbourne,"Marble, granite and sandstone drinking fountain,","-37.806629256046, 144.959908916093",320406.634,5813679.086
Art,Weathervanes,City of Melbourne,MCC - Ortho Image March 2005 - Final,"178 Swanston Street, MELBOURNE",Daniel Jenkins,,1993,2F_F3,City Of Melbourne,Hand-beaten copper sculpture with gold-leaf detail,"-37.8135755457342, 144.965751391423",320937.797,5812919.499
Art,Weathervanes,City of Melbourne,MCC - Ortho Image March 2005 - Final,"271 Bourke Street, MELBOURNE",Daniel Jenkins,,1993,2F_F3,City Of Melbourne,Hand-beaten copper sculpture with gold-leaf detail,"-37.8136266014549, 144.965579210749",320922.763,5812913.504
Art,Outside Inside Out,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"27 Caravel Lane, DOCKLANDS",Matthew McCarthy,,2006,2E_E4,VicUrban,Mural,"-37.814359230579, 144.941130138162",318772.226,5812785.05
Art,Model Tudor Village,City of Melbourne,MCC - Ortho Image March 2005 - Final,"Cook's Cottage, Fitzroy Gardens, 274 Wellington Parade, EAST MELBOURNE",Edgar Wilson,,1948,2G_C3,City Of Melbourne,Painted cement model,"-37.8132572520671, 144.981012379899",322280.503,5812983.966
Art,Commonwealth Games Aquatic Sculptures - Eels,City of Melbourne,MCC - Ground Ortho Image March 2008,"Kensington Community Recreation Centre, KENSINGTON",unknown,,2006,"42, J3",City Of Melbourne,Painted steel sculptures,"-37.7966290593729, 144.924306764698",317247.51149,5814719.73186
Monument,John Batman Memorial (1),City of Melbourne,MCC - Ortho Image March 2005 - Final,"439 Queen Street, MELBOURNE",J.W. Brown,,unknown,2B_B12,City Of Melbourne,Bluestone cairn,"-37.8081354860573, 144.957645863417",320211.045,5813507.592
Monument,Man with the Donkey,City of Melbourne,MCC - Ortho Image March 2005 - Final,"Shrine Of Remembrance Reserve, St Kilda Road, MELBOURNE",Wallace Anderson,Private John Simpson and His Little Donkey,1935,2F_K12,City Of Melbourne,Cast bronze statue on granite pedestal,"-37.8294820404839, 144.973858477761",321689.779,5811169.929
Art,Chinese Lion Guardians,City of Melbourne,MCC - Ortho Image March 2008 - Final,"Cohen Pl, CHINATOWN",unknown,,unknown,2F_G2,City Of Melbourne,Marble lions,"-37.8112537359422, 144.969347727216",321248.7929,5813184.029725
Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,"-37.8202194220305, 144.959168439493",320374.38775,5812169.61298
Monument,King Edward VII Memorial,City of Melbourne,MCC - Ortho Image March 2005 - Final,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",Sculptor Edgar Bertram Mackennal; founder A.B. Burton,,1920,2F_H8,City Of Melbourne,Bronze statue with basalt and granite pedestal,"-37.8226717982934, 144.970988232874",321420.738,5811920.151
Art,Time and Tide,City of Melbourne,MCC - Ortho Image March 2005 - Final,"252 Little Collins Street, MELBOURNE",Akio Makigawa,,1994,2F_F4,City Of Melbourne,"Bluestone, white marble, bronze and stainless-steel sculpture","-37.8143983948935, 144.96625088381",320983.757,5812829.149
Art,Eel Trap,City of Melbourne,MCC - Ground Ortho Image March 2008,"Birrarung Marr, MELBOURNE",Fiona Clarke and Ken McKean,,2003,"2F, K6",,Plate-steel sculpture,"-37.8191221824373, 144.97407578866",321683.96784,5812319.93722
Monument,Marquis of Linlithgow,City of Melbourne,MCC - Ortho Image March 2005 - Final,"268 St Kilda Road, SOUTHBANK",William Birnie Rhind,,1911,2F_J10,City Of Melbourne,Bronze statue with granite pedestal,"-37.8266640358872, 144.971916610826",321512.077,5811478.922
Art,Parrallax,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"47 Wurundjeri Way, DOCKLANDS",Ari Purhonen,,2002,2E_J6,VicUrban,Public installation,"-37.8196059887556, 144.951325455868",319682.514,5812222.569
Art,Federation Bells,City of Melbourne,MCC - Ground Ortho Image March 2008,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,,2002,2F_ K6,City of Melbourne,Bronze-alloy bells on galvanised-steel poles,"-37.8186666064737, 144.974100167285",321685.0173,5812370.53722
Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,"-37.8200950553396, 144.95952896712",320405.82177,5812184.10688
Art,Car Nuggets,Qasco,MCC - Ground Ortho Image March 2007,"15 Batmans Hill Drive, DOCKLANDS",Patricia Piccinini,,2006,2E_H8,VicUrban,Sculptural forms,"-37.8217401147159, 144.949142099572",319495.522,5811981.535
Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,"-37.820084055671, 144.959593881825",320411.50925,5812185.4523
