,Date,day,monthly_index,Public_Holiday,Rainfall amount (millimetres),Minimum temperature (Degree C),Maximum temperature (Degree C),Daily global solar exposure (MJ/m*m),Total_Pedestrian_Count_per_day
219,2015-08-08,6,8,Not a public holiday,0.0,8.8,12.6,6.6,540401
220,2015-08-09,7,8,Not a public holiday,0.0,7.7,13.3,6.9,479401
221,2015-08-10,1,8,Not a public holiday,0.6,8.3,16.0,10.7,536809
222,2015-08-11,2,8,Not a public holiday,0.0,7.8,14.8,11.7,553589
223,2015-08-12,3,8,Not a public holiday,0.0,9.3,14.8,9.2,558721
224,2015-08-13,4,8,Not a public holiday,0.0,8.4,13.0,7.0,576497
225,2015-08-14,5,8,Not a public holiday,0.0,10.4,15.3,7.3,627460
226,2015-08-15,6,8,Not a public holiday,0.0,10.0,14.9,10.9,579764
227,2015-08-16,7,8,Not a public holiday,0.0,4.7,17.0,9.5,450525
228,2015-08-17,1,8,Not a public holiday,2.6,6.8,12.2,9.9,481734
229,2015-08-18,2,8,Not a public holiday,1.0,6.1,11.1,9.8,497840
230,2015-08-19,3,8,Not a public holiday,0.0,5.5,12.7,10.2,555653
231,2015-08-20,4,8,Not a public holiday,0.0,6.1,17.1,12.7,581304
232,2015-08-21,5,8,Not a public holiday,0.0,10.9,18.7,4.1,640856
233,2015-08-22,6,8,Not a public holiday,0.0,11.8,18.8,11.8,555865
234,2015-08-23,7,8,Not a public holiday,0.0,7.9,16.3,13.1,428762
235,2015-08-24,1,8,Not a public holiday,0.0,8.5,14.5,9.6,513507
236,2015-08-25,2,8,Not a public holiday,0.0,9.5,14.3,8.1,526970
237,2015-08-26,3,8,Not a public holiday,0.0,9.2,14.6,7.8,551127
238,2015-08-27,4,8,Not a public holiday,1.4,9.8,11.7,2.7,545685
239,2015-08-28,5,8,Not a public holiday,17.6,8.1,13.2,12.2,720700
240,2015-08-29,6,8,Not a public holiday,3.2,6.3,11.7,9.1,500014
241,2015-08-30,7,8,Not a public holiday,2.4,7.9,12.5,14.3,457752
242,2015-08-31,1,8,Not a public holiday,0.0,8.1,13.0,11.5,529808
243,2015-09-01,2,9,Not a public holiday,0.0,5.1,16.2,15.7,577875
244,2015-09-02,3,9,Not a public holiday,0.0,8.0,18.8,10.5,557953
245,2015-09-03,4,9,Not a public holiday,5.2,10.6,14.0,8.0,573593
246,2015-09-04,5,9,Not a public holiday,0.0,8.7,13.7,13.0,650902
247,2015-09-05,6,9,Not a public holiday,0.0,10.2,14.0,14.8,545985
248,2015-09-06,7,9,Not a public holiday,0.0,5.8,16.6,11.8,398715
249,2015-09-07,1,9,Not a public holiday,3.4,8.9,13.6,9.2,509763
250,2015-09-08,2,9,Not a public holiday,2.0,8.8,12.8,11.1,541648
251,2015-09-09,3,9,Not a public holiday,0.0,10.0,15.3,11.4,572380
252,2015-09-10,4,9,Not a public holiday,0.0,10.0,15.7,17.3,633522
253,2015-09-11,5,9,Not a public holiday,0.0,5.1,20.1,17.7,699897
254,2015-09-12,6,9,Not a public holiday,0.0,12.2,21.7,10.2,559732
255,2015-09-13,7,9,Not a public holiday,0.0,13.2,25.5,17.1,538052
256,2015-09-14,1,9,Not a public holiday,0.0,15.4,26.7,17.8,578139
257,2015-09-15,2,9,Not a public holiday,16.6,10.8,15.9,15.0,549311
258,2015-09-16,3,9,Not a public holiday,0.0,8.9,14.8,17.6,592421
259,2015-09-17,4,9,Not a public holiday,1.6,9.0,14.3,12.4,571835
260,2015-09-18,5,9,Not a public holiday,1.6,10.5,14.7,8.1,690363
261,2015-09-19,6,9,Not a public holiday,0.0,6.5,21.3,17.0,578018
262,2015-09-20,7,9,Not a public holiday,0.0,8.5,22.9,17.3,494670
263,2015-09-21,1,9,Not a public holiday,0.0,14.0,18.1,6.7,543834
264,2015-09-22,2,9,Not a public holiday,4.4,7.6,12.7,17.4,581181
265,2015-09-23,3,9,Not a public holiday,0.0,8.5,12.6,20.3,608995
266,2015-09-24,4,9,Not a public holiday,0.0,5.1,14.3,18.2,654599
267,2015-09-25,5,9,Not a public holiday,0.0,5.8,19.1,20.2,745368
268,2015-09-26,6,9,Not a public holiday,0.0,6.6,17.9,20.1,610241
269,2015-09-27,7,9,Not a public holiday,0.0,9.8,20.2,19.6,528627
270,2015-09-28,1,9,Not a public holiday,0.0,8.3,21.4,13.6,633387
271,2015-09-29,2,9,Not a public holiday,0.0,9.0,16.9,13.5,653089
272,2015-09-30,3,9,Public Holiday,0.0,11.5,15.9,16.8,651814
273,2015-10-01,4,10,Not a public holiday,0.0,6.0,21.6,21.7,777692
274,2015-10-02,5,10,Not a public holiday,0.0,9.9,28.6,21.7,652706
275,2015-10-03,6,10,Not a public holiday,0.0,16.3,31.3,22.2,542282
276,2015-10-04,7,10,Not a public holiday,0.0,13.9,24.9,22.2,451117
277,2015-10-05,1,10,Not a public holiday,0.0,12.7,34.4,22.0,561247
278,2015-10-06,2,10,Not a public holiday,0.0,15.5,35.8,18.9,534950
279,2015-10-07,3,10,Not a public holiday,0.0,11.8,16.2,23.6,587563
280,2015-10-08,4,10,Not a public holiday,0.0,7.6,18.6,23.3,629696
281,2015-10-09,5,10,Not a public holiday,0.0,10.9,29.9,22.0,701303
282,2015-10-10,6,10,Not a public holiday,0.0,17.5,29.2,11.9,530790
283,2015-10-11,7,10,Not a public holiday,0.8,16.9,19.2,19.6,440025
284,2015-10-12,1,10,Not a public holiday,0.8,11.3,16.1,13.4,515737
285,2015-10-13,2,10,Not a public holiday,0.2,7.9,17.6,24.3,578092
286,2015-10-14,3,10,Not a public holiday,0.0,11.2,28.6,24.4,607247
287,2015-10-15,4,10,Not a public holiday,0.0,14.4,34.0,22.2,609690
288,2015-10-16,5,10,Not a public holiday,0.2,17.0,23.8,8.4,663558
289,2015-10-17,6,10,Not a public holiday,0.0,11.5,20.5,20.4,575503
290,2015-10-18,7,10,Not a public holiday,0.0,12.6,17.7,24.2,503192
291,2015-10-19,1,10,Not a public holiday,0.0,8.3,26.7,25.8,578945
