Description,Category,Subcategory,Year,Percentage
transportDay,AgeRange,18-24 years,2019,40.1
transportDay,AgeRange,35-44 years,2019,62.0
transportDay,AgeRange,55-64 years,2019,61.8
neighbourhoodDay,Suburb,Docklands 3008,2019,89.7
neighbourhoodDay,Suburb,East Melbourne 3002,2019,91.8
neighbourhoodDay,Gender,Male,2019,89.6
neighbourhoodDay,AgeRange,45-54 years,2019,89.9
neighbourhoodDay,AgeRange,55-64 years,2019,94.4
neighbourhoodDay,AgeRange,65+ years,2019,88.1
neighbourhoodNight,Suburb,City of Melbourne,2019,57.4
neighbourhoodNight,Suburb,East Melbourne 3002,2019,66.7
neighbourhoodNight,Suburb,Kensington / Flemington 3031,2019,62.1
neighbourhoodNight,Suburb,South Wharf / Southbank 3006,2019,65.0
neighbourhoodNight,AgeRange,35-44 years,2019,59.4
transportNight,Suburb,Kensington / Flemington 3031,2019,84.4
transportNight,Suburb,South Wharf / Southbank 3006,2019,92.8
transportNight,AgeRange,18-24 years,2019,84.5
transportNight,AgeRange,25-34 years,2019,84.1
transportNight,AgeRange,65+ years,2019,89.4
transportDay,Suburb,Parkville 3052,2019,49.5
transportDay,Suburb,South Wharf / Southbank 3006,2019,63.3
transportDay,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2019,70.8
transportDay,AgeRange,25-34 years,2019,56.6
transportDay,AgeRange,45-54 years,2019,71.8
neighbourhoodDay,Suburb,City of Melbourne,2019,86.1
neighbourhoodDay,Suburb,Kensington / Flemington 3031,2019,90.3
neighbourhoodDay,AgeRange,25-34 years,2019,87.1
neighbourhoodNight,Suburb,Carlton 3053,2019,61.1
neighbourhoodNight,Suburb,Melbourne 3000,2019,53.3
neighbourhoodNight,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2019,62.1
neighbourhoodNight,Gender,Male,2019,69.2
neighbourhoodNight,AgeRange,18-24 years,2019,43.9
neighbourhoodNight,AgeRange,55-64 years,2019,75.9
neighbourhoodNight,AgeRange,65+ years,2019,88.6
transportNight,Suburb,Parkville 3052,2019,82.9
transportNight,AgeRange,35-44 years,2019,91.2
transportNight,AgeRange,55-64 years,2019,90.3
transportDay,Suburb,Carlton 3053,2019,55.7
transportDay,Suburb,East Melbourne 3002,2019,55.3
transportDay,Suburb,Kensington / Flemington 3031,2019,53.3
transportDay,Suburb,North Melbourne 3051 / West Melbourne 3003,2019,50.3
transportDay,Gender,Male,2019,68.1
transportDay,AgeRange,65+ years,2019,80.1
neighbourhoodDay,Suburb,Kensington / Flemington 3031,2018,88.6
neighbourhoodDay,Suburb,Melbourne 3000,2018,90.2
neighbourhoodDay,Suburb,North Melbourne 3051 / West Melbourne 3003,2018,87.4
neighbourhoodDay,Suburb,Parkville 3052,2018,94.6
neighbourhoodDay,Suburb,South Wharf / Southbank 3006,2018,91.5
neighbourhoodDay,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2018,85.6
neighbourhoodDay,AgeRange,65+ years,2018,84.3
neighbourhoodNight,Suburb,Carlton 3053,2018,57.6
neighbourhoodNight,Suburb,Docklands 3008,2018,67.6
neighbourhoodNight,Suburb,Melbourne 3000,2018,59.4
neighbourhoodNight,AgeRange,25-34 years,2018,65.7
