Date,day,monthly_index,Covid Restrictions,Public_Holiday,Rainfall amount (millimetres),Minimum temperature (Degree C),Maximum temperature (Degree C),Daily global solar exposure (MJ/m*m),Total_Pedestrian_Count_per_day
25-09-2015,5,9,No restriction,Not a public holiday,0,5.8,19.1,20.2,745368
26-09-2015,6,9,No restriction,Not a public holiday,0,6.6,17.9,20.1,610241
27-09-2015,7,9,No restriction,Not a public holiday,0,9.8,20.2,19.6,528627
28-09-2015,1,9,No restriction,Not a public holiday,0,8.3,21.4,13.6,633387
29-09-2015,2,9,No restriction,Not a public holiday,0,9,16.9,13.5,653089
30-09-2015,3,9,No restriction,Public Holiday,0,11.5,15.9,16.8,651814
01-10-2015,4,10,No restriction,Not a public holiday,0,6,21.6,21.7,777692
02-10-2015,5,10,No restriction,Not a public holiday,0,9.9,28.6,21.7,652706
03-10-2015,6,10,No restriction,Not a public holiday,0,16.3,31.3,22.2,542282
04-10-2015,7,10,No restriction,Not a public holiday,0,13.9,24.9,22.2,451117
05-10-2015,1,10,No restriction,Not a public holiday,0,12.7,34.4,22,561247
06-10-2015,2,10,No restriction,Not a public holiday,0,15.5,35.8,18.9,534950
07-10-2015,3,10,No restriction,Not a public holiday,0,11.8,16.2,23.6,587563
08-10-2015,4,10,No restriction,Not a public holiday,0,7.6,18.6,23.3,629696
09-10-2015,5,10,No restriction,Not a public holiday,0,10.9,29.9,22,701303
10-10-2015,6,10,No restriction,Not a public holiday,0,17.5,29.2,11.9,530790
11-10-2015,7,10,No restriction,Not a public holiday,0.8,16.9,19.2,19.6,440025
12-10-2015,1,10,No restriction,Not a public holiday,0.8,11.3,16.1,13.4,515737
13-10-2015,2,10,No restriction,Not a public holiday,0.2,7.9,17.6,24.3,578092
14-10-2015,3,10,No restriction,Not a public holiday,0,11.2,28.6,24.4,607247
15-10-2015,4,10,No restriction,Not a public holiday,0,14.4,34,22.2,609690
16-10-2015,5,10,No restriction,Not a public holiday,0.2,17,23.8,8.4,663558
17-10-2015,6,10,No restriction,Not a public holiday,0,11.5,20.5,20.4,575503
18-10-2015,7,10,No restriction,Not a public holiday,0,12.6,17.7,24.2,503192
19-10-2015,1,10,No restriction,Not a public holiday,0,8.3,26.7,25.8,578945
20-10-2015,2,10,No restriction,Not a public holiday,0,12.9,31.8,14.4,568350
21-10-2015,3,10,No restriction,Not a public holiday,8.8,17.6,18.3,7.3,538916
22-10-2015,4,10,No restriction,Not a public holiday,8.8,11.4,16.7,8.5,572714
23-10-2015,5,10,No restriction,Not a public holiday,0,11.8,16.4,21,682460
24-10-2015,6,10,No restriction,Not a public holiday,0,9.2,19.5,25.1,543271
25-10-2015,7,10,No restriction,Not a public holiday,0,10.2,31.3,20.1,467092
26-10-2015,1,10,No restriction,Not a public holiday,0.6,14,15.9,14.5,508264
27-10-2015,2,10,No restriction,Not a public holiday,0.4,10.4,23.3,28.1,583522
28-10-2015,3,10,No restriction,Not a public holiday,0,10.1,26.8,27.6,583618
29-10-2015,4,10,No restriction,Not a public holiday,0,13.7,26.1,26.8,610892
30-10-2015,5,10,No restriction,Not a public holiday,0,12.6,27.4,22.6,698115
31-10-2015,6,10,No restriction,Not a public holiday,0,15.7,25.9,13.5,480908
01-11-2015,7,11,No restriction,Public Holiday,4.8,16.4,26,10,446762
02-11-2015,1,11,No restriction,Not a public holiday,0,14.5,16,8.2,597289
03-11-2015,2,11,No restriction,Not a public holiday,0.6,8,17.9,25.4,395150
04-11-2015,3,11,No restriction,Not a public holiday,0,10.9,27.2,19.6,573447
05-11-2015,4,11,No restriction,Not a public holiday,11.4,16.2,24.7,16.4,533293
06-11-2015,5,11,No restriction,Not a public holiday,18.6,16.6,18.7,3.7,611397
07-11-2015,6,11,No restriction,Not a public holiday,2.4,11.9,16.8,25.2,545573
08-11-2015,7,11,No restriction,Not a public holiday,0,8.5,24.8,25.1,465766
09-11-2015,1,11,No restriction,Not a public holiday,0,13.6,33.1,26.4,550326
10-11-2015,2,11,No restriction,Not a public holiday,0,15.2,16.4,5.3,592849
11-11-2015,3,11,No restriction,Not a public holiday,2.8,11.5,20.1,16,640890
12-11-2015,4,11,No restriction,Not a public holiday,0,13.7,21.2,19.2,688901
13-11-2015,5,11,No restriction,Not a public holiday,0.4,13.5,18.2,26.1,767005
14-11-2015,6,11,No restriction,Not a public holiday,0.2,12.1,18.3,27.5,597169
15-11-2015,7,11,No restriction,Not a public holiday,0.2,13,18.5,27.6,540609
16-11-2015,1,11,No restriction,Not a public holiday,0,11.4,26.3,29.4,652123
17-11-2015,2,11,No restriction,Not a public holiday,0,15.7,33.3,24,649510
18-11-2015,3,11,No restriction,Not a public holiday,0,14.7,29.5,29.2,686578
19-11-2015,4,11,No restriction,Not a public holiday,0,15.6,31.5,20.6,696855
20-11-2015,5,11,No restriction,Not a public holiday,1,15.4,19.1,6.4,692160
21-11-2015,6,11,No restriction,Not a public holiday,3.4,12.2,17.5,20.9,566248
22-11-2015,7,11,No restriction,Not a public holiday,0,13.5,20,27.3,499809
23-11-2015,1,11,No restriction,Not a public holiday,0,13.8,20.7,27.3,641411
24-11-2015,2,11,No restriction,Not a public holiday,0,13.6,24.5,30,653772
25-11-2015,3,11,No restriction,Not a public holiday,0,13.5,33.3,9.3,652086
