stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
"13714","Springvale Station","-37.94927189","145.15328705","","Parentvic:rail:SPG","1"
"13715","Springvale Station","-37.94922881","145.15341332","","Parentvic:rail:SPG","2"
"13716","Westall Station","-37.93804784","145.13814970","","Parentvic:rail:WTL","1"
"13717","Westall Station","-37.93797703","145.13823114","","Parentvic:rail:WTL","2"
"13718","Clayton Station","-37.92489719","145.12099534","","Parentvic:rail:CLA","1"
"13719","Clayton Station","-37.92485269","145.12103061","","Parentvic:rail:CLA","2"
"13720","Huntingdale Station","-37.91094289","145.10221836","","Parentvic:rail:HUN","1"
"13721","Huntingdale Station","-37.91086182","145.10222044","","Parentvic:rail:HUN","2"
"13722","Oakleigh Station","-37.90040762","145.08827283","","Parentvic:rail:OAK","1"
"13723","Oakleigh Station","-37.90031056","145.08840045","","Parentvic:rail:OAK","2"
"13725","Hughesdale Station","-37.89402172","145.07576971","","Parentvic:rail:HUG","1"
"13726","Hughesdale Station","-37.89396786","145.07578248","","Parentvic:rail:HUG","2"
"13727","Murrumbeena Station","-37.89029026","145.06748618","","Parentvic:rail:MRB","1"
"13728","Murrumbeena Station","-37.89024560","145.06751009","","Parentvic:rail:MRB","2"
"13729","Carnegie Station","-37.88633400","145.05872045","","Parentvic:rail:CNE","1"
"13730","Carnegie Station","-37.88628952","145.05875573","","Parentvic:rail:CNE","2"
"13731","Werribee Station","-37.89949960","144.66088672","","Parentvic:rail:WER","1"
"13732","Werribee Station","-37.89955386","144.66089638","","Parentvic:rail:WER","2"
"13733","Werribee Station","-37.89986024","144.66044316","","Parentvic:rail:WER","3"
"13734","Hoppers Crossing Station","-37.88301076","144.70166810","","Parentvic:rail:HCG","1"
"13735","Hoppers Crossing Station","-37.88305624","144.70168942","","Parentvic:rail:HCG","2"
"13736","Laverton Station","-37.86354523","144.77284848","","Parentvic:rail:LAV","1"
"13737","Laverton Station","-37.86366146","144.77279952","","Parentvic:rail:LAV","2"
"13738","Aircraft Station","-37.86670408","144.76028358","","Parentvic:rail:ACF","1"
"13739","Aircraft Station","-37.86674932","144.76029357","","Parentvic:rail:ACF","2"
"13740","Westona Station","-37.86521907","144.81406027","","Parentvic:rail:WTO","1"
"13741","Westona Station","-37.86517404","144.81406160","","Parentvic:rail:WTO","2"
