grid_id,mean_thermal,canopy_cover_pct,priority_cell,hotspot_score,hotspot_score_v2,cluster,cluster_improved,cluster_label
232,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
233,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
234,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
235,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
236,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
237,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
238,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
239,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
240,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
241,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
242,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
243,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
244,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
245,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
246,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
247,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
248,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
249,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
250,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
251,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
252,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
253,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
254,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
255,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
260,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
261,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
262,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
263,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
264,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
265,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
266,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
267,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
268,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
269,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
270,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
271,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
272,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
273,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
274,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
275,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
276,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
277,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
278,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
279,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
280,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
281,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
282,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
283,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
284,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
285,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
286,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
287,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
288,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
289,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
298,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
299,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
300,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
301,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
302,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
303,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
304,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
305,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
306,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
307,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
308,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
309,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
310,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
311,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
312,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
315,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
316,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
317,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
318,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
319,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
320,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
321,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
322,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
323,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
324,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
335,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
336,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
337,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
338,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
339,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
342,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
343,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
344,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
345,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
346,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
347,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
348,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
353,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
354,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
355,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
356,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
357,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
358,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
359,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
372,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
381,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
382,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
383,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
391,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
392,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
393,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
394,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
395,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
396,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
419,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
428,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
429,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
430,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
431,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
464,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
465,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
466,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
467,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
499,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
500,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
