Category,Start_date,End_date,Latitude,Longitude,Location
Filming - Student,2015-09-19,2015-09-19,-37.78126845,144.951681481633,"Royal Park, Melbourne, Australia"
Filming - Student,2016-04-18,2016-04-18,-37.8249254,144.97160681435184,"Tom's Block, Melbourne, Australia"
Filming - Student,2016-06-03,2016-06-04,-37.852686,145.68001159293397,"Bridges, Melbourne, Australia"
Filming - Student,2016-08-26,2016-09-04,-37.825915800000004,144.97438634674612,"Kings Domain, Melbourne, Australia"
Filming - Student,2016-08-26,2016-09-04,-37.852686,145.68001159293397,"Bridges, Melbourne, Australia"
Filming - Student,2016-09-02,2016-09-02,-37.8116587,144.9689601,"Croft Alley, Melbourne, Australia"
Filming - Student,2016-09-02,2016-09-02,-37.8115571,144.9686979,"Paynes Place, Melbourne, Australia"
Filming - Student,2016-09-11,2016-09-11,-37.80624775,144.97123179005268,"Carlton Gardens, Melbourne, Australia"
Filming - Student,2016-09-20,2016-09-20,-37.8109379,144.9681757,"Corrs Lane, Melbourne, Australia"
Filming - Student,2016-10-16,2016-10-16,-37.852686,145.68001159293397,"Bridges, Melbourne, Australia"
Filming - Student,2016-12-01,2016-12-01,-37.82124215,144.97366341791786,"Alexandra Gardens, Melbourne, Australia"
Filming - Student,2017-11-03,2017-11-03,-37.8137438,144.9686999,"Little Collins Street, Melbourne, Australia"
Filming - Student,2017-11-03,2017-11-03,-37.8129136,144.9723712,"Ridgway Place, Melbourne, Australia"
Filming - Student,2017-09-01,2017-09-01,-37.798004076503936,144.96662295572335,"Inner Suburb Locations, Melbourne, Australia"
Filming - Student,2014-05-03,2014-05-03,-37.812684000000004,144.98050537922455,"Fitzroy Gardens, Melbourne, Australia"
Filming - Student,2014-05-06,2014-05-06,-37.84146095,144.98186833591586,"Fawkner Park, Melbourne, Australia"
Filming - Student,2014-07-05,2014-07-07,-37.816049,144.9570548,"Bourke Street, Melbourne, Australia"
Filming - Student,2014-07-05,2014-07-07,-37.8171696,144.964596,"Flinders Lane, Melbourne, Australia"
Filming - Student,2014-07-05,2014-07-07,-37.810299,144.9728121,"Little Bourke Street, Melbourne, Australia"
Filming - Student,2014-07-05,2014-07-07,-37.8084439,144.971527,"Little Lonsdale Street, Melbourne, Australia"
