Education_Sector,Entity_Type,SCHOOL_NO,School_Name,School_Type,School_Status,Address_Line_1,Address_Line_2,Address_Town,Address_State,Address_Postcode,Postal_Address_Line_1,Postal_Address_Line_2,Postal_Town,Postal_State,Postal_Postcode,Full_Phone_No,LGA_ID,LGA_Name,X,Y
Government,1,3729,Chelsea Primary School,Primary,O,34-44 Argyle Ave,,Chelsea,VIC,3196,34-44 ARGYLE AVE,,CHELSEA,VIC,3196,03 9773 2055,343,Kingston (C),145.12231,-38.054889
Government,1,3754,Hampton Primary School,Primary,O,528 Hampton Street,,Hampton,VIC,3188,PO Box 97,,Hampton,VIC,3188,03 9598 1412,91,Bayside (C),145.003476,-37.93339
Government,1,3774,Victorian College For The Deaf,Special,O,597 St Kilda Road,,Melbourne,VIC,3004,597 St Kilda Road,,MELBOURNE,VIC,3004,03 9510 1706,460,Melbourne (C),144.982306,-37.849774
Government,1,3787,Balliang East Primary School,Primary,O,4 School Road,,Balliang East,VIC,3340,4 School Road,,BALLIANG EAST,VIC,3340,03 5369 5148,515,Moorabool (S),144.4153538,-37.79497592
Government,1,3790,Edithvale Primary School,Primary,O,42-54 Edithvale Road,,Edithvale,VIC,3196,Edithvale Road,,EDITHVALE,VIC,3196,03 9772 1393,343,Kingston (C),145.11297,-38.037494
Government,1,3805,Orrvale Primary School,Primary,O,300 Channel Road,,Orrvale,VIC,3631,300 Channel Road,,ORRVALE,VIC,3631,03 5829 2490,283,Greater Shepparton (C),145.440539,-36.410409
Government,1,3806,Penders Grove Primary School,Primary,O,370 Victoria Road,,Thornbury,VIC,3071,370 Victoria Road,,THORNBURY,VIC,3071,03 9484 1076,189,Darebin (C),145.01427,-37.754517
Government,1,3819,Underbool Primary School,Primary,O,67 Cotter Street,,Underbool,VIC,3509,P O Box 43,,UNDERBOOL,VIC,3509,03 5094 6342,478,Mildura (RC),141.814054,-35.170573
Government,1,3820,Caulfield Junior College,Primary,O,186 Balaclava Road,,Caulfield North,VIC,3161,186 Balaclava Road,,CAULFIELD NORTH,VIC,3161,03 9509 6872,231,Glen Eira (C),145.021561,-37.87211
Government,1,3835,Seaford Primary School,Primary,O,Mcrae Street,,Seaford,VIC,3198,McRae Street,,SEAFORD,VIC,3198,03 9786 1357,217,Frankston (C),145.130496,-38.104436
Government,1,3841,Wattle Park Primary School,Primary,O,225 Warrigal Road,,Burwood,VIC,3125,225 Warrigal Road,,BURWOOD,VIC,3125,03 9808 2165,698,Whitehorse (C),145.09737,-37.842635
Government,1,3859,Murrabit Group School,Primary,O,61 Browning Avenue,,Murrabit,VIC,3579,P O Box 42,,MURRABIT,VIC,3579,03 5457 2284,225,Gannawarra (S),143.950749,-35.528838
Government,1,3885,Preston West Primary School,Primary,O,383 Murray Road,,Preston,VIC,3072,383 MURRAY ROAD,,PRESTON,VIC,3072,03 9470 1546,189,Darebin (C),144.99553,-37.737366
Government,1,3889,Thornbury Primary School,Primary,O,16-22 Hutton Street,,Thornbury,VIC,3071,16 - 22 Hutton Street,,THORNBURY,VIC,3071,03 9484 3254,189,Darebin (C),144.996748,-37.755425
Government,1,3890,Footscray West Primary School,Primary,O,Argyle Street,,West Footscray,VIC,3012,Argyle Street,,WEST FOOTSCRAY,VIC,3012,03 9687 1535,433,Maribyrnong (C),144.875267,-37.794867
Government,1,3892,Wandin North Primary School,Primary,O,220 Warburton Highway,,Wandin North,VIC,3139,P O Box 271,,WANDIN NORTH,VIC,3139,03 5964 4570,745,Yarra Ranges (S),145.409713,-37.769783
Government,1,3897,Gardenvale Primary School,Primary,O,66 Landcox Street,,Brighton East,VIC,3187,66 Landcox Street,,BRIGHTON EAST,VIC,3187,03 9596 2871,91,Bayside (C),145.015034,-37.904679
Government,1,3899,Beaumaris Primary School,Primary,O,79-99 Dalgetty Road,,Beaumaris,VIC,3193,P O Box 6140,,Cromer,VIC,3193,03 9589 2619,91,Bayside (C),145.037586,-37.985272
Government,1,3907,Currawa Primary School,Primary,O,2 Ridge Road,,Dookie Campus,VIC,3647,2 Ridge Road,,Dookie Campus,VIC,3647,03 5828 6581,283,Greater Shepparton (C),145.7037867,-36.38474876
Government,1,3920,Cann River P-12 College,Pri/Sec,O,20-24 Tamboon Road,,Cann River,VIC,3890,20-24 Tamboon,,CANN RIVER,VIC,3890,03 5158 6245,211,East Gippsland (S),149.153022,-37.5697
Government,1,3923,Altona Primary School,Primary,O,109 Blyth Street,,Altona,VIC,3018,P O Box 127,,ALTONA,VIC,3018,03 9398 2925,311,Hobsons Bay (C),144.822742,-37.867708
Government,1,3924,Devon Meadows Primary School,Primary,O,50 Worthing Road,,Devon Meadows,VIC,3977,"50 Worthing Road,",,DEVON MEADOWS,VIC,3977,03 5998 2304,161,Casey (C),145.301384,-38.162026
Government,1,3926,Upper Ferntree Gully Primary School,Primary,O,Talaskia Road,,Upper Ferntree Gully,VIC,3156,P O Box 7030,,UPPER FERNTREE GULLY,VIC,3156,03 9758 1527,367,Knox (C),145.314325,-37.895604
Government,1,3931,Eildon Primary School,Primary,O,45 High Street,,Eildon,VIC,3713,45 High Street,,EILDON,VIC,3713,03 5774 2074,562,Murrindindi (S),145.906761,-37.233967
Government,1,3933,Bittern Primary School,Primary,O,Portsmouth Road,,Bittern,VIC,3918,P O Box 3,,BITTERN,VIC,3918,03 5983 9590,534,Mornington Peninsula (S),145.171678,-38.339857
Government,1,3936,Colbinabbin Primary School,Primary,O,56 Mitchell Street,,Colbinabbin,VIC,3559,56 Mitchell Street,,COLBINABBIN,VIC,3559,03 5432 9330,137,Campaspe (S),144.801658,-36.589881
Government,1,3937,Stanhope Primary School,Primary,O,48 Midland Highway,,Stanhope,VIC,3623,P O Box 19,,STANHOPE,VIC,3623,03 5857 2514,137,Campaspe (S),144.988016,-36.448102
Government,1,3939,Hurstbridge Primary School,Primary,O,961-989 Heidelberg-Kinglake Rd,,Hurstbridge,VIC,3099,Main Road,,HURSTBRIDGE,VIC,3099,03 9718 2386,571,Nillumbik (S),145.19812,-37.635897
