School_Name,School_Type,LGA_Name,nearest_stop_name,nearest_stop_distance_m
Langwarrin Primary School,Primary,Frankston (C),Elisabeth Murdoch College/Warrandyte Rd,98.99149775552311
Cockatoo Primary School,Primary,Cardinia (S),Amphlett Ave/Belgrave-Gembrook Rd,94.09455329069388
Tyabb Railway Station Primary School,Primary,Mornington Peninsula (S),Mornington-Tyabb Rd/Frankston-Flinders Rd,249.97737358543375
Belgrave South Primary School,Primary,Yarra Ranges (S),Gilmore Ct/Belgrave-Hallam Rd,69.80214269674995
Yarra Me School,Special,Darebin (C),Dean St/Murray Rd,184.1517723832083
Sydenham - Hillside Primary School,Primary,Brimbank (C),Overton Lea Reserve/Overton Lea Bvd,213.46526594611728
Canterbury Primary School,Primary,Boroondara (C),Molesworth St/Prospect Hill Rd,58.97296947781613
Brunswick North Primary School,Primary,Moreland (C),Thistle St/Albion St,100.82180583815428
Fawkner Primary School,Primary,Moreland (C),Lesleigh St/Lorne St,158.06682827532796
Alphington Primary School,Primary,Yarra (C),Yarralea St/Heidelberg Rd,319.7913273209573
The Austin School,Special,Banyule (C),Austin Hospital/Burgundy St,89.33540697922244
Banyan Fields Primary School,Primary,Frankston (C),Banyan Fields Primary School/Cadles Rd,49.36105908619234
Norris Bank Primary School,Primary,Whittlesea (C),Norris Bank Primary School/Settlement Rd ,34.82496105254497
Macclesfield Primary School,Primary,Yarra Ranges (S),Margaret Rd/Belgrave-Gembrook Rd,3553.5583999971523
Black Rock Primary School,Primary,Bayside (C),Arkaringa Cres/Bluff Rd,373.75873024205896
Mount Evelyn Primary School,Primary,Yarra Ranges (S),Clegg Rd/Monbulk Rd,72.90542025894902
Kilsyth Primary School,Primary,Yarra Ranges (S),Kilsyth Primary School/Mt Dandenong Rd,64.31913819339952
Spotswood Primary School,Primary,Hobsons Bay (C),Birmingham St/Melbourne Rd,93.05934395518962
Clyde Primary School,Primary,Casey (C),Clyde PS/Oroya Gr,24.199940370443034
Noble Park Primary School,Primary,Greater Dandenong (C),Noble Park PS/Buckley St,105.35680124740131
Deepdene Primary School,Primary,Boroondara (C),Deepdene PS/Burke Rd,49.90071645750766
Cardinia Primary School,Primary,Cardinia (S),Watercolour Bvd/Pattersons Rd,5291.403873686038
