Date,day,hourly_counts,id,mdate,month,sensor_id,sensor_name,year
2019-11-01,Friday,229,2887838,1,November,23,Spencer St-Collins St (South),2019
2019-11-01,Friday,1322,2887839,1,November,25,Melbourne Convention Exhibition Centre,2019
2019-11-01,Friday,937,2887840,1,November,21,Bourke St-Russell St (West),2019
2019-11-01,Friday,765,2887841,1,November,20,Chinatown-Lt Bourke St (South),2019
2019-11-01,Friday,1243,2887842,1,November,19,Chinatown-Swanston St (North),2019
2019-11-01,Friday,2266,2887843,1,November,22,Flinders St-Elizabeth St (East),2019
2019-11-01,Friday,146,2887844,1,November,27,QV Market-Peel St,2019
2019-11-01,Friday,1205,2887845,1,November,28,The Arts Centre,2019
2019-11-01,Friday,800,2887846,1,November,31,Lygon St (West),2019
2019-11-01,Friday,1106,2887847,1,November,30,Lonsdale St (South),2019
2019-11-01,Friday,131,2887848,1,November,34,Flinders St-Spark La,2019
2019-11-01,Friday,114,2887849,1,November,39,Alfred Place,2019
2019-11-01,Friday,366,2887850,1,November,37,Lygon St (East),2019
2019-11-01,Friday,215,2887851,1,November,40,Lonsdale St-Spring St (West),2019
2019-11-01,Friday,297,2887852,1,November,36,Queen St (West),2019
2019-11-01,Friday,382,2887853,1,November,29,St Kilda Rd-Alexandra Gardens,2019
2019-11-01,Friday,157,2887854,1,November,42,Grattan St-Swanston St (West),2019
2019-11-01,Friday,13,2887855,1,November,43,Monash Rd-Swanston St (West),2019
2019-11-01,Friday,38,2887856,1,November,44,Tin Alley-Swanston St (West),2019
2019-11-01,Friday,1825,2887857,1,November,35,Southbank,2019
2019-11-01,Friday,1562,2887858,1,November,45,Little Collins St-Swanston St (East),2019
2019-11-01,Friday,93,2887859,1,November,46,Pelham St (S),2019
2019-11-01,Friday,1213,2887860,1,November,47,Melbourne Central-Elizabeth St (East),2019
2019-11-01,Friday,189,2887861,1,November,48,QVM-Queen St (East),2019
2019-11-01,Friday,137,2887862,1,November,49,QVM-Therry St (South),2019
2019-11-01,Friday,555,2887863,1,November,50,Faraday St-Lygon St (West),2019
2019-11-01,Friday,148,2887864,1,November,51,QVM-Franklin St (North),2019
2019-11-01,Friday,618,2887865,1,November,52,Elizabeth St-Lonsdale St (South),2019
2019-11-01,Friday,211,2887866,1,November,54,Lincoln-Swanston(West),2019
2019-11-01,Friday,1530,2887867,1,November,55,Elizabeth St-La Trobe St (East),2019
2019-11-01,Friday,405,2887868,1,November,56,Lonsdale St - Elizabeth St (North),2019
2019-11-01,Friday,161,2887869,1,November,57,Bourke St Bridge,2019
2019-11-01,Friday,630,2887870,1,November,58,Bourke St - Spencer St (North),2019
2019-11-01,Friday,7,2887871,1,November,59,Swanston St - RMIT Building 80,2019
2019-11-01,Friday,582,2887872,1,November,61,Swanston St - RMIT Building 14,2019
2019-11-01,Friday,260,2887873,1,November,62,La Trobe St (North),2019
2019-11-01,Friday,1438,2887874,1,November,4,Town Hall (West),2019
2019-11-01,Friday,197,2887875,1,November,17,Collins Place (South),2019
2019-11-01,Friday,153,2887876,1,November,18,Collins Place (North),2019
2019-11-01,Friday,374,2887877,1,November,53,Collins St (North),2019
2019-11-01,Friday,349,2887878,1,November,2,Bourke Street Mall (South),2019
2019-11-01,Friday,779,2887879,1,November,1,Bourke Street Mall (North),2019
2019-11-01,Friday,1960,2887880,1,November,3,Melbourne Central,2019
2019-11-01,Friday,909,2887881,1,November,15,State Library,2019
2019-11-01,Friday,157,2887882,1,November,9,Southern Cross Station,2019
2019-11-01,Friday,76,2887883,1,November,10,Victoria Point,2019
2019-11-01,Friday,363,2887884,1,November,12,New Quay,2019
2019-11-01,Friday,82,2887885,1,November,11,Waterfront City,2019
2019-11-01,Friday,79,2887886,1,November,8,Webb Bridge,2019
2019-11-01,Friday,958,2887887,1,November,7,Birrarung Marr,2019
2019-11-01,Friday,1767,2887888,1,November,5,Princes Bridge,2019
2019-11-01,Friday,1600,2887889,1,November,6,Flinders Street Station Underpass,2019
2019-11-01,Friday,12,2887890,1,November,14,Sandridge Bridge,2019
2019-11-01,Friday,443,2887891,1,November,26,QV Market-Elizabeth St (West),2019
2019-11-01,Friday,849,2887892,1,November,24,Spencer St-Collins St (North),2019
2019-11-01,Friday,178,2887893,1,November,23,Spencer St-Collins St (South),2019
2019-11-01,Friday,974,2887894,1,November,25,Melbourne Convention Exhibition Centre,2019
2019-11-01,Friday,856,2887895,1,November,21,Bourke St-Russell St (West),2019
2019-11-01,Friday,727,2887896,1,November,20,Chinatown-Lt Bourke St (South),2019
2019-11-01,Friday,983,2887897,1,November,19,Chinatown-Swanston St (North),2019
2019-11-01,Friday,1833,2887898,1,November,22,Flinders St-Elizabeth St (East),2019
2019-11-01,Friday,132,2887899,1,November,27,QV Market-Peel St,2019
2019-11-01,Friday,677,2887900,1,November,28,The Arts Centre,2019
2019-11-01,Friday,696,2887901,1,November,31,Lygon St (West),2019
2019-11-01,Friday,1024,2887902,1,November,30,Lonsdale St (South),2019
2019-11-01,Friday,218,2887903,1,November,34,Flinders St-Spark La,2019
2019-11-01,Friday,115,2887904,1,November,39,Alfred Place,2019
2019-11-01,Friday,287,2887905,1,November,37,Lygon St (East),2019
2019-11-01,Friday,351,2887906,1,November,40,Lonsdale St-Spring St (West),2019
2019-11-01,Friday,390,2887907,1,November,36,Queen St (West),2019
2019-11-01,Friday,367,2887908,1,November,29,St Kilda Rd-Alexandra Gardens,2019
2019-11-01,Friday,136,2887909,1,November,42,Grattan St-Swanston St (West),2019
2019-11-01,Friday,14,2887910,1,November,43,Monash Rd-Swanston St (West),2019
2019-11-01,Friday,25,2887911,1,November,44,Tin Alley-Swanston St (West),2019
2019-11-01,Friday,1503,2887912,1,November,35,Southbank,2019
2019-11-01,Friday,1082,2887913,1,November,45,Little Collins St-Swanston St (East),2019
2019-11-01,Friday,66,2887914,1,November,46,Pelham St (S),2019
2019-11-01,Friday,753,2887915,1,November,47,Melbourne Central-Elizabeth St (East),2019
2019-11-01,Friday,149,2887916,1,November,48,QVM-Queen St (East),2019
2019-11-01,Friday,169,2887917,1,November,49,QVM-Therry St (South),2019
2019-11-01,Friday,423,2887918,1,November,50,Faraday St-Lygon St (West),2019
2019-11-01,Friday,109,2887919,1,November,51,QVM-Franklin St (North),2019
2019-11-01,Friday,576,2887920,1,November,52,Elizabeth St-Lonsdale St (South),2019
2019-11-01,Friday,132,2887921,1,November,54,Lincoln-Swanston(West),2019
2019-11-01,Friday,1286,2887922,1,November,55,Elizabeth St-La Trobe St (East),2019
2019-11-01,Friday,309,2887923,1,November,56,Lonsdale St - Elizabeth St (North),2019
2019-11-01,Friday,128,2887924,1,November,57,Bourke St Bridge,2019
2019-11-01,Friday,573,2887925,1,November,58,Bourke St - Spencer St (North),2019
2019-11-01,Friday,10,2887926,1,November,59,Swanston St - RMIT Building 80,2019
2019-11-01,Friday,494,2887927,1,November,61,Swanston St - RMIT Building 14,2019
2019-11-01,Friday,235,2887928,1,November,62,La Trobe St (North),2019
2019-11-01,Friday,1064,2887929,1,November,4,Town Hall (West),2019
2019-11-01,Friday,144,2887930,1,November,17,Collins Place (South),2019
2019-11-01,Friday,83,2887931,1,November,18,Collins Place (North),2019
2019-11-01,Friday,239,2887932,1,November,53,Collins St (North),2019
2019-11-01,Friday,238,2887933,1,November,2,Bourke Street Mall (South),2019
2019-11-01,Friday,391,2887934,1,November,1,Bourke Street Mall (North),2019
2019-11-01,Friday,1537,2887935,1,November,3,Melbourne Central,2019
2019-11-01,Friday,550,2887936,1,November,15,State Library,2019
2019-11-01,Friday,94,2887937,1,November,9,Southern Cross Station,2019
2019-11-01,Friday,44,2887938,1,November,10,Victoria Point,2019
2019-11-01,Friday,234,2887939,1,November,12,New Quay,2019
2019-11-01,Friday,57,2887940,1,November,11,Waterfront City,2019
2019-11-01,Friday,85,2887941,1,November,8,Webb Bridge,2019
2019-11-01,Friday,823,2887942,1,November,7,Birrarung Marr,2019
2019-11-01,Friday,1306,2887943,1,November,5,Princes Bridge,2019
2019-11-01,Friday,1263,2887944,1,November,6,Flinders Street Station Underpass,2019
2019-11-01,Friday,14,2887945,1,November,14,Sandridge Bridge,2019
2019-11-01,Friday,316,2887946,1,November,26,QV Market-Elizabeth St (West),2019
2019-11-01,Friday,672,2887947,1,November,24,Spencer St-Collins St (North),2019
2019-11-01,Friday,151,2887948,1,November,23,Spencer St-Collins St (South),2019
2019-11-01,Friday,696,2887949,1,November,25,Melbourne Convention Exhibition Centre,2019
2019-11-01,Friday,667,2887950,1,November,21,Bourke St-Russell St (West),2019
2019-11-01,Friday,473,2887951,1,November,20,Chinatown-Lt Bourke St (South),2019
2019-11-01,Friday,700,2887952,1,November,19,Chinatown-Swanston St (North),2019
2019-11-01,Friday,1515,2887953,1,November,22,Flinders St-Elizabeth St (East),2019
2019-11-01,Friday,82,2887954,1,November,27,QV Market-Peel St,2019
2019-11-01,Friday,353,2887955,1,November,28,The Arts Centre,2019
2019-11-01,Friday,541,2887956,1,November,31,Lygon St (West),2019
2019-11-01,Friday,732,2887957,1,November,30,Lonsdale St (South),2019
2019-11-01,Friday,154,2887958,1,November,34,Flinders St-Spark La,2019
2019-11-01,Friday,55,2887959,1,November,39,Alfred Place,2019
2019-11-01,Friday,139,2887960,1,November,37,Lygon St (East),2019
2019-11-01,Friday,137,2887961,1,November,40,Lonsdale St-Spring St (West),2019
2019-11-01,Friday,365,2887962,1,November,36,Queen St (West),2019
2019-11-01,Friday,394,2887963,1,November,29,St Kilda Rd-Alexandra Gardens,2019
2019-11-01,Friday,103,2887964,1,November,42,Grattan St-Swanston St (West),2019
2019-11-01,Friday,21,2887965,1,November,43,Monash Rd-Swanston St (West),2019
2019-11-01,Friday,27,2887966,1,November,44,Tin Alley-Swanston St (West),2019
2019-11-01,Friday,960,2887967,1,November,35,Southbank,2019
2019-11-01,Friday,748,2887968,1,November,45,Little Collins St-Swanston St (East),2019
2019-11-01,Friday,50,2887969,1,November,46,Pelham St (S),2019
2019-11-01,Friday,615,2887970,1,November,47,Melbourne Central-Elizabeth St (East),2019
2019-11-01,Friday,105,2887971,1,November,48,QVM-Queen St (East),2019
2019-11-01,Friday,110,2887972,1,November,49,QVM-Therry St (South),2019
2019-11-01,Friday,139,2887973,1,November,50,Faraday St-Lygon St (West),2019
2019-11-01,Friday,78,2887974,1,November,51,QVM-Franklin St (North),2019
2019-11-01,Friday,416,2887975,1,November,52,Elizabeth St-Lonsdale St (South),2019
2019-11-01,Friday,98,2887976,1,November,54,Lincoln-Swanston(West),2019
2019-11-01,Friday,1005,2887977,1,November,55,Elizabeth St-La Trobe St (East),2019
2019-11-01,Friday,245,2887978,1,November,56,Lonsdale St - Elizabeth St (North),2019
2019-11-01,Friday,119,2887979,1,November,57,Bourke St Bridge,2019
2019-11-01,Friday,373,2887980,1,November,58,Bourke St - Spencer St (North),2019
2019-11-01,Friday,6,2887981,1,November,59,Swanston St - RMIT Building 80,2019
2019-11-01,Friday,320,2887982,1,November,61,Swanston St - RMIT Building 14,2019
2019-11-01,Friday,176,2887983,1,November,62,La Trobe St (North),2019
2019-11-02,Saturday,1064,2887984,2,November,4,Town Hall (West),2019
2019-11-02,Saturday,77,2887985,2,November,17,Collins Place (South),2019
2019-11-02,Saturday,47,2887986,2,November,18,Collins Place (North),2019
2019-11-02,Saturday,172,2887987,2,November,53,Collins St (North),2019
2019-11-02,Saturday,189,2887988,2,November,2,Bourke Street Mall (South),2019
2019-11-02,Saturday,205,2887989,2,November,1,Bourke Street Mall (North),2019
2019-11-02,Saturday,986,2887990,2,November,3,Melbourne Central,2019
2019-11-02,Saturday,302,2887991,2,November,15,State Library,2019
2019-11-02,Saturday,28,2887992,2,November,9,Southern Cross Station,2019
