kerbsideid,location,Latitude,Longitude
9625,"-37.80496415494934, 144.94854345814642",-37.80496415494934,144.94854345814642
9967,"-37.799735160587375, 144.9655930649242",-37.799735160587375,144.9655930649242
57648,"-37.809740995100576, 144.95250721026474",-37.809740995100576,144.95250721026474
57645,"-37.8098906355965, 144.9525865367229",-37.8098906355965,144.9525865367229
57641,"-37.810090915002306, 144.95269006303647",-37.810090915002306,144.95269006303647
10742,"-37.80379669737577, 144.95088211182127",-37.80379669737577,144.95088211182127
10890,"-37.805507523927716, 144.95024587270197",-37.805507523927716,144.95024587270197
10906,"-37.80553700129558, 144.95010120498932",-37.80553700129558,144.95010120498932
11943,"-37.80157667692333, 144.95489135251938",-37.80157667692333,144.95489135251938
56528,"-37.81651024755264, 144.95725315959675",-37.81651024755264,144.95725315959675
64269,"-37.810980619735375, 144.9705976665644",-37.810980619735375,144.9705976665644
64050,"-37.81626885897799, 144.9564379784483",-37.81626885897799,144.9564379784483
9079,"-37.80225297827825, 144.9585417861307",-37.80225297827825,144.9585417861307
51833,"-37.81436063653405, 144.96881309882076",-37.81436063653405,144.96881309882076
65810,"-37.808461045457975, 144.97143240826537",-37.808461045457975,144.97143240826537
52130,"-37.811353469691866, 144.96743345892386",-37.811353469691866,144.96743345892386
21751,"-37.84813057598156, 144.98353435941885",-37.84813057598156,144.98353435941885
21679,"-37.84818084326359, 144.98303734482448",-37.84818084326359,144.98303734482448
54036,"-37.81732918409801, 144.9617701448845",-37.81732918409801,144.9617701448845
53931,"-37.81833392755065, 144.9622309130329",-37.81833392755065,144.9622309130329
53939,"-37.81809716327688, 144.96212211009936",-37.81809716327688,144.96212211009936
21534,"-37.835106826042704, 144.9780293417556",-37.835106826042704,144.9780293417556
22020,"-37.79914114010213, 144.95371587679307",-37.79914114010213,144.95371587679307
52210,"-37.81052702660541, 144.9671826078899",-37.81052702660541,144.9671826078899
61736,"-37.81380175104609, 144.9725807720974",-37.81380175104609,144.9725807720974
18637,"-37.821218796797304, 144.94410948110885",-37.821218796797304,144.94410948110885
18634,"-37.82117319064948, 144.94391931435464",-37.82117319064948,144.94391931435464
18635,"-37.82118881888181, 144.94398454954523",-37.82118881888181,144.94398454954523
20593,"-37.819779418280326, 144.9471201563455",-37.819779418280326,144.9471201563455
18610,"-37.8213149139644, 144.95106735784597",-37.8213149139644,144.95106735784597
18564,"-37.81921901366228, 144.94941671368198",-37.81921901366228,144.94941671368198
60838,"-37.814563533541275, 144.97356281055005",-37.814563533541275,144.97356281055005
64733,"-37.814143788704314, 144.95979292327627",-37.814143788704314,144.95979292327627
17500,"-37.820201470413465, 144.94223168811772",-37.820201470413465,144.94223168811772
13405,"-37.81992012215079, 144.94350332366335",-37.81992012215079,144.94350332366335
13397,"-37.81999579034017, 144.9432431375824",-37.81999579034017,144.9432431375824
13436,"-37.82009732548086, 144.94321334901133",-37.82009732548086,144.94321334901133
50935,"-37.813445522263606, 144.97111070499417",-37.813445522263606,144.97111070499417
50816,"-37.81457508332559, 144.9718048322021",-37.81457508332559,144.9718048322021
14991,"-37.813104291670655, 144.93674327010285",-37.813104291670655,144.93674327010285
16419,"-37.809775182418605, 144.9810887699614",-37.809775182418605,144.9810887699614
16413,"-37.809715326707746, 144.9810986597671",-37.809715326707746,144.9810986597671
23970,"-37.80470045315579, 144.9572847434669",-37.80470045315579,144.9572847434669
69945,"-37.822523929297894, 144.9521005255906",-37.822523929297894,144.9521005255906
13445,"-37.819595209964405, 144.94431238082225",-37.819595209964405,144.94431238082225
62757,"-37.8136598375073, 144.96906482232941",-37.8136598375073,144.96906482232941
17936,"-37.81195320004957, 144.98748325221953",-37.81195320004957,144.98748325221953
20638,"-37.80951140679669, 144.9782947399139",-37.80951140679669,144.9782947399139
23032,"-37.81028160871656, 144.9783637210504",-37.81028160871656,144.9783637210504
65211,"-37.81088939603193, 144.96668991789758",-37.81088939603193,144.96668991789758
65064,"-37.809902739158495, 144.97038501828393",-37.809902739158495,144.97038501828393
66329,"-37.812506622098226, 144.95758705677792",-37.812506622098226,144.95758705677792
8189,"-37.80210371635338, 144.96589183414164",-37.80210371635338,144.96589183414164
9577,"-37.80446544036628, 144.94947086617978",-37.80446544036628,144.94947086617978
66026,"-37.810245537194746, 144.9653118312001",-37.810245537194746,144.9653118312001
61249,"-37.817738497859075, 144.96268705572254",-37.817738497859075,144.96268705572254
65196,"-37.81075468352928, 144.9678212234596",-37.81075468352928,144.9678212234596
65113,"-37.81029203676752, 144.96872358485945",-37.81029203676752,144.96872358485945
21490,"-37.81974639130393, 144.9469095366655",-37.81974639130393,144.9469095366655
13469,"-37.819288804365065, 144.9456917106085",-37.819288804365065,144.9456917106085
53946,"-37.8184925684276, 144.96217929229044",-37.8184925684276,144.96217929229044
61643,"-37.81981366699077, 144.95580820855713",-37.81981366699077,144.95580820855713
61644,"-37.81983178241323, 144.95574398443216",-37.81983178241323,144.95574398443216
56915,"-37.81682057459061, 144.95605201479813",-37.81682057459061,144.95605201479813
50932,"-37.813609073228754, 144.97118684925354",-37.813609073228754,144.97118684925354
62759,"-37.81369645832241, 144.9689400643884",-37.81369645832241,144.9689400643884
22939,"-37.81021819600076, 144.97813687073062",-37.81021819600076,144.97813687073062
63148,"-37.81647647786581, 144.9593880347058",-37.81647647786581,144.9593880347058
57743,"-37.820240787126615, 144.95569529602255",-37.820240787126615,144.95569529602255
18643,"-37.808781745038715, 144.97293054338238",-37.808781745038715,144.97293054338238
63910,"-37.815224246658914, 144.95952568425594",-37.815224246658914,144.95952568425594
7838,"-37.809816383020056, 144.97752563926633",-37.809816383020056,144.97752563926633
7487,"-37.809833249091454, 144.97768072350834",-37.809833249091454,144.97768072350834
7856,"-37.80997470999398, 144.97892006609857",-37.80997470999398,144.97892006609857
25115,"-37.811948524327406, 144.98316853256844",-37.811948524327406,144.98316853256844
25103,"-37.81257027579838, 144.9830656005944",-37.81257027579838,144.9830656005944
25468,"-37.802404051101405, 144.95876138722784",-37.802404051101405,144.95876138722784
60029,"-37.81582116124278, 144.97268387669027",-37.81582116124278,144.97268387669027
50850,"-37.81462863578952, 144.97165950326007",-37.81462863578952,144.97165950326007
62332,"-37.8181740333503, 144.9569940034882",-37.8181740333503,144.9569940034882
51752,"-37.81514510753681, 144.96905555985558",-37.81514510753681,144.96905555985558
51751,"-37.81519586057043, 144.96907916470437",-37.81519586057043,144.96907916470437
63446,"-37.81194106470079, 144.97132157812763",-37.81194106470079,144.97132157812763
69965,"-37.82230254427385, 144.9534210170546",-37.82230254427385,144.9534210170546
61947,"-37.8150723824405, 144.96825477799052",-37.8150723824405,144.96825477799052
62872,"-37.81404786900126, 144.96770882038703",-37.81404786900126,144.96770882038703
51617,"-37.81601454920161, 144.96970070161825",-37.81601454920161,144.96970070161825
50657,"-37.808139610732866, 144.9715608503775",-37.808139610732866,144.9715608503775
63235,"-37.816862046092844, 144.9580346617822",-37.816862046092844,144.9580346617822
61648,"-37.819941167057515, 144.9553565516419",-37.819941167057515,144.9553565516419
65311,"-37.81156591098831, 144.96438764053093",-37.81156591098831,144.96438764053093
65230,"-37.81127736615012, 144.96537534506908",-37.81127736615012,144.96537534506908
65219,"-37.81105275683377, 144.96613649934432",-37.81105275683377,144.96613649934432
65111,"-37.81020435302535, 144.96902305426931",-37.81020435302535,144.96902305426931
