kerbsideid,location,Latitude,Longitude
21687,"-37.848213706475214, 144.9833068653546",-37.848213706475214,144.9833068653546
65572,"-37.81353464660003, 144.95796968212494",-37.81353464660003,144.95796968212494
54226,"-37.815637286069745, 144.96099145074135",-37.815637286069745,144.96099145074135
54039,"-37.81726439571307, 144.96174051759118",-37.81726439571307,144.96174051759118
54131,"-37.81638083670083, 144.96133357329992",-37.81638083670083,144.96133357329992
54549,"-37.81253584741609, 144.9594489033752",-37.81253584741609,144.9594489033752
54530,"-37.81246195088824, 144.95954099972948",-37.81246195088824,144.95954099972948
54427,"-37.81377844110391, 144.9601382741797",-37.81377844110391,144.9601382741797
61712,"-37.81362705094156, 144.97262292277279",-37.81362705094156,144.97262292277279
65199,"-37.8108123453408, 144.9676255895189",-37.8108123453408,144.9676255895189
18623,"-37.821134790208106, 144.9430166154661",-37.821134790208106,144.9430166154661
20614,"-37.81955745298548, 144.94369160324493",-37.81955745298548,144.94369160324493
56922,"-37.81711484049472, 144.9559376963074",-37.81711484049472,144.9559376963074
61523,"-37.819131668443475, 144.95784547999037",-37.819131668443475,144.95784547999037
18567,"-37.819661393364115, 144.94976558139547",-37.819661393364115,144.94976558139547
60836,"-37.81451506643333, 144.97372858387934",-37.81451506643333,144.97372858387934
61415,"-37.818544379483654, 144.96005669495756",-37.818544379483654,144.96005669495756
20607,"-37.8211673065982, 144.9453672570661",-37.8211673065982,144.9453672570661
17490,"-37.82035031334955, 144.94233273035633",-37.82035031334955,144.94233273035633
17493,"-37.82029216507679, 144.94253451002305",-37.82029216507679,144.94253451002305
17483,"-37.82033122611111, 144.94178443111818",-37.82033122611111,144.94178443111818
13463,"-37.81935162943479, 144.94547434286818",-37.81935162943479,144.94547434286818
13464,"-37.819342766379386, 144.94550482424316",-37.819342766379386,144.94550482424316
50815,"-37.81463216325314, 144.97183139102785",-37.81463216325314,144.97183139102785
50910,"-37.8137095093117, 144.9714016807551",-37.8137095093117,144.9714016807551
53945,"-37.818545919460334, 144.96220366659048",-37.818545919460334,144.96220366659048
23413,"-37.79988233061856, 144.9654561330423",-37.79988233061856,144.9654561330423
61613,"-37.81958584031267, 144.9562674680712",-37.81958584031267,144.9562674680712
24166,"-37.80172467594659, 144.96342914477356",-37.80172467594659,144.96342914477356
9468,"-37.80570925875647, 144.95722048166812",-37.80570925875647,144.95722048166812
24037,"-37.80529735614254, 144.95718052798065",-37.80529735614254,144.95718052798065
13407,"-37.819793849449454, 144.94394541689542",-37.819793849449454,144.94394541689542
66416,"-37.812975533761346, 144.9559499301654",-37.812975533761346,144.9559499301654
51311,"-37.80948577422579, 144.96929419600121",-37.80948577422579,144.96929419600121
5947,"-37.81190264930598, 144.97635194669076",-37.81190264930598,144.97635194669076
5935,"-37.8119830047601, 144.97604299004234",-37.8119830047601,144.97604299004234
66447,"-37.81313518040935, 144.95556735990664",-37.81313518040935,144.95556735990664
20639,"-37.80946049970673, 144.9783032708449",-37.80946049970673,144.9783032708449
18147,"-37.81147508015315, 144.98857224189527",-37.81147508015315,144.98857224189527
8988,"-37.80128920180536, 144.9586432846213",-37.80128920180536,144.9586432846213
64049,"-37.81625035038056, 144.95650205067005",-37.81625035038056,144.95650205067005
18712,"-37.80320337481842, 144.96252531235388",-37.80320337481842,144.96252531235388
51818,"-37.81406166881729, 144.96880104997948",-37.81406166881729,144.96880104997948
5960,"-37.81214838990354, 144.9775554474196",-37.81214838990354,144.9775554474196
17516,"-37.81095731879638, 144.97681213327434",-37.81095731879638,144.97681213327434
63146,"-37.81643579288833, 144.95952891500872",-37.81643579288833,144.95952891500872
63516,"-37.812259359326596, 144.96968722093112",-37.812259359326596,144.96968722093112
62434,"-37.81887368145436, 144.9545486799141",-37.81887368145436,144.9545486799141
51854,"-37.81446444012603, 144.96873866896908",-37.81446444012603,144.96873866896908
25011,"-37.80943735931163, 144.9740554221538",-37.80943735931163,144.9740554221538
58211,"-37.81632513216525, 144.95302271228667",-37.81632513216525,144.95302271228667
58120,"-37.81729431696377, 144.95346589250374",-37.81729431696377,144.95346589250374
63923,"-37.81548431361455, 144.95861279393944",-37.81548431361455,144.95861279393944
7850,"-37.80970625335705, 144.97651305620022",-37.80970625335705,144.97651305620022
7882,"-37.810166179630386, 144.9806603175337",-37.810166179630386,144.9806603175337
16429,"-37.81013361598532, 144.98168637602356",-37.81013361598532,144.98168637602356
16426,"-37.81008895306813, 144.98128503577414",-37.81008895306813,144.98128503577414
17554,"-37.81097757344973, 144.98779911629026",-37.81097757344973,144.98779911629026
17567,"-37.810881374360335, 144.98692166074048",-37.810881374360335,144.98692166074048
20635,"-37.8107802456345, 144.98360491584899",-37.8107802456345,144.98360491584899
25117,"-37.81183999625059, 144.98318655263833",-37.81183999625059,144.98318655263833
25113,"-37.812051247573365, 144.98315146109593",-37.812051247573365,144.98315146109593
25111,"-37.812154855912276, 144.98313424542192",-37.812154855912276,144.98313424542192
25095,"-37.813084401659935, 144.98297926102595",-37.813084401659935,144.98297926102595
17243,"-37.816099162921375, 144.97589305547123",-37.816099162921375,144.97589305547123
55319,"-37.81101005388723, 144.95742068824296",-37.81101005388723,144.95742068824296
60942,"-37.81516742677178, 144.97149395321327",-37.81516742677178,144.97149395321327
60940,"-37.81512930115561, 144.97162362345705",-37.81512930115561,144.97162362345705
50852,"-37.81449048070375, 144.97159578905166",-37.81449048070375,144.97159578905166
51634,"-37.81631973757882, 144.96959523608422",-37.81631973757882,144.96959523608422
51632,"-37.81644117492837, 144.96965120384647",-37.81644117492837,144.96965120384647
