,date,sensor_description,latitude,longitude,Total_Pedestrian_Count,day
1695,2019-10-15,Bourke Street Mall (North),-37.813494399999996,144.96515324,29874,Tuesday
1696,2019-10-16,Bourke Street Mall (North),-37.813494399999996,144.96515324,28828,Wednesday
1697,2019-10-17,Bourke Street Mall (North),-37.813494399999996,144.96515324,30090,Thursday
1698,2019-10-18,Bourke Street Mall (North),-37.813494399999996,144.96515324,42487,Friday
1699,2019-10-19,Bourke Street Mall (North),-37.813494399999996,144.96515324,34141,Saturday
1700,2019-10-20,Bourke Street Mall (North),-37.813494399999996,144.96515324,27946,Sunday
1701,2019-10-21,Bourke Street Mall (North),-37.813494399999996,144.96515324,29224,Monday
1702,2019-10-22,Bourke Street Mall (North),-37.813494399999996,144.96515324,31133,Tuesday
1703,2019-10-23,Bourke Street Mall (North),-37.813494399999996,144.96515324,36274,Wednesday
1704,2019-10-24,Bourke Street Mall (North),-37.813494399999996,144.96515324,35726,Thursday
1705,2019-10-25,Bourke Street Mall (North),-37.813494399999996,144.96515324,38093,Friday
1706,2019-10-26,Bourke Street Mall (North),-37.813494399999996,144.96515324,31212,Saturday
1707,2019-10-27,Bourke Street Mall (North),-37.813494399999996,144.96515324,26913,Sunday
1708,2019-10-28,Bourke Street Mall (North),-37.813494399999996,144.96515324,31660,Monday
1709,2019-10-29,Bourke Street Mall (North),-37.813494399999996,144.96515324,32120,Tuesday
1710,2019-10-30,Bourke Street Mall (North),-37.813494399999996,144.96515324,34145,Wednesday
1711,2019-10-31,Bourke Street Mall (North),-37.813494399999996,144.96515324,35401,Thursday
1712,2019-11-01,Bourke Street Mall (North),-37.813494399999996,144.96515324,36863,Friday
1713,2019-11-02,Bourke Street Mall (North),-37.813494399999996,144.96515324,27782,Saturday
1714,2019-11-03,Bourke Street Mall (North),-37.813494399999996,144.96515324,27507,Sunday
1715,2019-11-04,Bourke Street Mall (North),-37.813494399999996,144.96515324,35195,Monday
1716,2019-11-05,Bourke Street Mall (North),-37.813494399999996,144.96515324,27617,Tuesday
1717,2019-11-06,Bourke Street Mall (North),-37.813494399999996,144.96515324,31715,Wednesday
1718,2019-11-07,Bourke Street Mall (North),-37.813494399999996,144.96515324,28533,Thursday
1719,2019-11-08,Bourke Street Mall (North),-37.813494399999996,144.96515324,33746,Friday
1720,2019-11-09,Bourke Street Mall (North),-37.813494399999996,144.96515324,31179,Saturday
