census_year,clue_small_area,Total_cafe,accommodation_and_food_services,administrative_and_support_services,agriculture_forestry_and_fishing,arts_and_recreation_services,construction,education_and_training,electricity_gas_water_and_waste_services,financial_and_insurance_services,health_care_and_social_assistance,information_media_and_telecommunications,manufacturing,mining,other_services,professional_scientific_and_technical_services,public_administration_and_safety,rental_hiring_and_real_estate_services,retail_trade,transport_postal_and_warehousing,wholesale_trade,total_establishments_in_block,Total_Dwel,New_Cafe
2009,North Melbourne,137,56.0,32.800000000000004,0.0,30.0,8.200000000000001,22.5,6.8999999999999995,17.6,89.0,25.6,54.9,0.0,29.0,122.4,10.4,13.799999999999999,118.0,23.4,38.5,532.0,74.0,0
2009,Parkville,36,25.5,1.6,0.2,16.8,0.2,13.5,2.1,8.0,70.0,3.2,2.7,0.0,5.0,12.0,2.4000000000000004,0.6,23.0,3.5999999999999996,0.0,132.5,68.0,0
2009,Port Melbourne,15,4.0,9.600000000000001,0.2,5.3999999999999995,6.2,3.6,2.1,7.2,1.0,14.4,54.0,0.2,1.4000000000000001,43.2,3.2,2.4,20.0,21.599999999999998,29.0,172.5,0.0,14
2009,South Yarra,16,8.5,1.6,0.0,3.0,0.0,11.700000000000001,1.5,0.0,3.0,0.8,0.0,0.0,2.0,0.0,0.8,0.0,9.0,0.0,0.0,33.0,0.0,0
2009,Southbank,141,65.5,21.6,0.6000000000000001,26.4,3.2,11.700000000000001,6.6,21.6,19.0,25.6,18.0,0.6000000000000001,11.200000000000001,101.60000000000001,9.600000000000001,18.0,104.0,9.0,7.0,359.0,665.0,0
2009,West Melbourne (Industrial),9,4.0,0.8,0.2,6.6,0.4,0.0,3.5999999999999996,0.8,0.0,2.4000000000000004,9.0,0.0,1.2000000000000002,4.0,3.2,6.6,8.0,38.4,109.0,182.5,0.0,0
2009,West Melbourne (Residential),73,29.0,12.8,0.0,11.4,2.6,15.3,3.5999999999999996,12.8,13.0,9.600000000000001,19.8,0.0,12.600000000000001,84.0,4.800000000000001,4.2,46.0,12.0,23.5,246.0,175.0,0
2010,Carlton,338,126.5,20.8,0.2,21.0,4.2,78.3,4.2,30.400000000000002,99.0,16.8,28.8,0.0,29.8,118.4,18.400000000000002,9.6,163.0,3.0,14.5,580.0,35.0,0
2010,Docklands,211,81.0,24.0,0.2,18.599999999999998,3.8000000000000003,5.4,2.6999999999999997,24.0,14.0,15.200000000000001,13.5,0.2,10.8,71.2,12.8,24.0,283.0,21.0,5.0,432.5,66.0,0
2010,East Melbourne,74,34.0,13.600000000000001,0.0,24.599999999999998,1.2000000000000002,14.4,2.1,15.200000000000001,218.0,5.6000000000000005,6.3,0.1,10.0,65.60000000000001,15.200000000000001,5.3999999999999995,20.0,1.2,2.0,296.5,86.0,0
2010,Kensington,37,14.5,5.6000000000000005,0.2,49.199999999999996,2.8000000000000003,5.4,3.3,3.2,16.0,4.800000000000001,32.4,0.0,8.0,16.0,4.0,4.2,29.0,7.8,16.5,179.5,112.0,12
