date_new,Public Holiday?,Min,Max,Daily global solar exposure (MJ/m*m),Rainfall amount (millimetres),CollinsPlaceNorth
2015-10-03,0,16.3,31.3,22.2,0.0,2587.0
2015-10-04,0,13.9,24.9,22.2,0.0,1549.0
2015-10-05,0,12.7,34.4,22.0,0.0,10290.0
2015-10-06,0,15.5,35.8,18.9,0.0,11062.0
2015-10-07,0,11.8,16.2,23.6,0.0,10876.0
2015-10-08,0,7.6,18.6,23.3,0.0,11234.0
2015-10-09,0,10.9,29.9,22.0,0.0,11341.0
2015-10-10,0,17.5,29.2,11.9,0.0,2841.0
2015-10-11,0,16.9,19.2,19.6,0.4,1832.0
2015-10-12,0,11.3,16.1,13.4,0.6,10585.0
2015-10-13,0,7.9,17.6,24.3,0.4,11580.0
2015-10-14,0,11.2,28.6,24.4,0.0,11237.0
2015-10-15,0,14.4,34.0,22.2,0.0,11649.0
2015-10-16,0,17.0,23.8,8.4,0.0,11451.0
2015-10-17,0,11.5,20.5,20.4,0.0,3493.0
2015-10-18,0,12.6,17.7,24.2,0.0,1824.0
2015-10-19,0,8.3,26.7,25.8,0.0,9636.0
2015-10-20,0,12.9,31.8,14.4,0.0,10928.0
2015-10-21,0,17.6,18.3,7.3,2.4,10720.0
2015-10-22,0,11.4,16.7,8.5,7.0,10975.0
2015-10-23,0,11.8,16.4,21.0,0.0,10408.0
2015-10-24,0,9.2,19.5,25.1,0.0,3165.0
2015-10-25,0,10.2,31.3,20.1,0.0,1960.0
2015-10-26,0,14.0,15.9,14.5,0.2,10493.0
2015-10-27,0,10.4,23.3,28.1,0.2,11546.0
2015-10-28,0,10.1,26.8,27.6,0.0,11395.0
2015-10-29,0,13.7,26.1,26.8,0.0,11909.0
2015-10-30,0,12.6,27.4,22.6,0.0,10627.0
2015-10-31,0,15.7,25.9,13.5,1.0,2192.0
2015-11-01,0,16.4,26.0,10.0,4.4,1786.0
2015-11-02,0,14.5,16.0,8.2,0.0,7547.0
2015-11-03,1,8.0,17.9,25.4,0.2,1620.0
2015-11-04,0,10.9,27.2,19.6,0.0,10909.0
2015-11-05,0,16.2,24.7,16.4,12.2,9553.0
2015-11-06,0,16.6,18.7,3.7,17.6,9358.0
2015-11-07,0,11.9,16.8,25.2,1.2,2008.0
2015-11-08,0,8.5,24.8,25.1,0.0,1840.0
2015-11-09,0,13.6,33.1,26.4,0.0,9485.0
2015-11-10,0,15.2,16.4,5.3,0.0,9915.0
2015-11-11,0,11.5,20.1,16.0,2.0,10071.0
2015-11-12,0,13.7,21.2,19.2,0.0,10376.0
2015-11-13,0,13.5,18.2,26.1,0.4,11016.0
2015-11-14,0,12.1,18.3,27.5,0.2,2589.0
2015-11-15,0,13.0,18.5,27.6,0.2,1628.0
2015-11-16,0,11.4,26.3,29.4,0.2,10955.0
2015-11-17,0,15.7,33.3,24.0,0.0,11630.0
2015-11-18,0,14.7,29.5,29.2,0.0,11661.0
2015-11-19,0,15.6,31.5,20.6,0.0,11538.0
2015-11-20,0,15.4,19.1,6.4,0.4,11101.0
2015-11-21,0,12.2,17.5,20.9,3.6,2255.0
2015-11-22,0,13.5,20.0,27.3,0.0,1517.0
2015-11-23,0,13.8,20.7,27.3,0.0,11345.0
2015-11-24,0,13.6,24.5,30.0,0.0,11370.0
2015-11-25,0,13.5,33.3,9.3,0.0,11385.0
2015-11-26,0,10.8,17.4,23.3,0.0,11011.0
2015-11-27,0,9.0,18.2,16.8,0.4,11295.0
2015-11-28,0,12.0,20.1,27.1,0.0,3469.0
2015-11-29,0,12.6,20.3,23.4,0.0,1448.0
2015-11-30,0,10.0,32.2,26.6,0.0,11101.0
2015-12-01,0,14.5,24.6,24.4,1.8,11487.0
2015-12-02,0,9.2,17.5,32.4,0.0,10895.0
2015-12-03,0,12.2,21.3,30.1,0.0,11324.0
2015-12-04,0,11.3,30.8,32.2,0.0,11262.0
2015-12-05,0,15.5,25.3,27.9,0.0,3130.0
2015-12-06,0,15.3,29.8,13.5,0.0,2333.0
2015-12-07,0,18.1,27.3,8.7,0.0,10844.0
2015-12-08,0,20.3,35.4,19.8,0.8,11904.0
2015-12-09,0,15.4,24.6,27.0,0.0,12399.0
2015-12-10,0,13.1,26.0,32.0,0.0,12754.0
2015-12-11,0,14.2,19.2,13.0,0.0,11490.0
2015-12-12,0,10.1,18.3,27.9,2.0,2736.0
2015-12-13,0,10.3,28.3,28.6,0.0,1968.0
2015-12-14,0,11.9,22.7,31.6,0.0,12264.0
2015-12-15,0,14.4,24.6,30.3,0.0,12560.0
2015-12-16,0,15.6,27.5,32.5,0.0,12394.0
2015-12-17,0,16.9,37.2,33.1,0.0,12397.0
2015-12-18,0,19.4,35.4,31.2,0.0,11832.0
2015-12-19,0,19.2,41.2,20.5,0.0,2303.0
2015-12-20,0,25.9,37.8,10.4,0.0,1557.0
2015-12-21,0,15.0,20.2,25.4,6.0,10719.0
2015-12-22,0,12.0,22.8,32.9,0.0,10566.0
2015-12-23,0,15.1,26.0,32.4,0.0,9390.0
2015-12-24,0,16.7,34.6,32.8,0.4,6015.0
2015-12-25,1,21.7,34.1,33.3,0.0,1015.0
2015-12-26,1,12.7,20.0,19.2,30.6,1618.0
2015-12-27,0,11.9,19.4,27.6,5.2,1825.0
2015-12-28,1,12.8,20.8,33.2,0.0,1905.0
2015-12-29,0,12.4,23.9,33.0,0.0,4166.0
2015-12-30,0,13.9,34.7,32.8,0.0,4172.0
2015-12-31,0,19.7,39.7,29.6,0.0,3852.0
