Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,DE_Admin_Region,LGA_Name,DE_Admin_AREA,"Prep Total""""","Year 1 Total""""","Year 2 Total""""","Year 3 Total""""","Year 4 Total""""","Year 5 Total""""","Year 6 Total""""","Primary Ungraded Total""""","Primary Total""""","Year 7 Total""""","Year 8 Total""""","Year 9 Total""""","Year 10 Total""""","Year 11 Total""""","Year 12 Total""""","Secondary Ungraded Total""""","Secondary Total""""","Grand Total""""",Year,CENSUS_TYPE
Catholic,2,1512,St Mary's School,Primary,O,NORTH-EASTERN VICTORIA,Murrindindi (S),Goulburn,17,17,30,12,19,24,20,0,139,0,0,0,0,0,0,0,0,139,2024,F
Catholic,2,1516,Holy Spirit School,Primary,O,NORTH-WESTERN VICTORIA,Darebin (C),North Eastern Melbourne,9,27,17,20,22,25,31,0,151,0,0,0,0,0,0,0,0,151,2024,F
Catholic,2,1521,Sacred Heart School,Primary,O,SOUTH-WESTERN VICTORIA,Brimbank (C),Brimbank Melton,34,41,37,35,49,46,50,0,292,0,0,0,0,0,0,0,0,292,2024,F
Catholic,2,1522,St Thomas The Apostle School,Primary,O,NORTH-EASTERN VICTORIA,Whitehorse (C),Inner Eastern Melbourne,23,33,30,21.6,40,21,39,0,207.6,0,0,0,0,0,0,0,0,207.6,2024,F
Catholic,2,1523,St Mary's School,Primary,O,NORTH-WESTERN VICTORIA,Campaspe (S),Loddon Campaspe,8,4,9,6,7,9,9,0,52,0,0,0,0,0,0,0,0,52,2024,F
Catholic,2,1524,St Michael's School,Primary,O,SOUTH-EASTERN VICTORIA,Wellington (S),Outer Gippsland,10,11,12.6,6,9,8,9,0,65.6,0,0,0,0,0,0,0,0,65.6,2024,F
Catholic,2,1525,St Thomas Aquinas School,Primary,O,SOUTH-WESTERN VICTORIA,Greater Geelong (C),Barwon,23,25,22,29,25,21,13,0,158,0,0,0,0,0,0,0,0,158,2024,F
Catholic,2,1526,St Pius X School,Primary,O,NORTH-WESTERN VICTORIA,Banyule (C),North Eastern Melbourne,5,13,8,7,5,5,6,0,49,0,0,0,0,0,0,0,0,49,2024,F
Catholic,2,1527,St Margaret Mary's School,Primary,O,SOUTH-WESTERN VICTORIA,Hobsons Bay (C),Western Melbourne,26,33.4,17,34,12,20,14,0,156.4,0,0,0,0,0,0,0,0,156.4,2024,F
Catholic,2,1528,Monivae College,Secondary,O,SOUTH-WESTERN VICTORIA,Southern Grampians (S),Wimmera South West,0,0,0,0,0,0,0,0,0,108,103,106,100,91,76,0,584,584,2024,F
Catholic,2,1530,St Anthony's School,Primary,O,SOUTH-EASTERN VICTORIA,Greater Dandenong (C),Southern Melbourne,39,41,43,54,48,30,46,0,301,0,0,0,0,0,0,0,0,301,2024,F
Catholic,2,1531,St Peter's School,Primary,O,NORTH-EASTERN VICTORIA,Monash (C),Inner Eastern Melbourne,19,20,23,29,16.6,27,28.4,0,163,0,0,0,0,0,0,0,0,163,2024,F
Catholic,2,1532,St Joseph's School,Primary,O,SOUTH-WESTERN VICTORIA,Yarriambiack (S),Wimmera South West,3,9,6,4,4,6,7,0,39,0,0,0,0,0,0,0,0,39,2024,F
Catholic,2,1534,St John Bosco's School,Primary,O,SOUTH-WESTERN VICTORIA,Moonee Valley (C),Western Melbourne,49,53,52,67,66,72,52,0,411,0,0,0,0,0,0,0,0,411,2024,F
