name_of_covered_entity,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information,business_associate_present,web_description,breach_year,breach_month,severity_level,type_of_breach_encoded,location_of_breached_information_encoded,covered_entity_type_encoded
Khalil Foundation (DBA Khalil Center),IL,Healthcare Provider,1153.0,2024-12-22,Unauthorized Access/Disclosure,Network Server,No,No description provided,2024,12,Moderate,28,83,3
"Effortless Office Enterprises, LLC",NV,Business Associate,3112.0,2024-12-20,Hacking/IT Incident,Network Server,Yes,No description provided,2024,12,Moderate,0,83,0
In-Home Attendant Services Ltd.,TX,Healthcare Provider,22000.0,2024-12-20,Hacking/IT Incident,Network Server,No,No description provided,2024,12,High,0,83,3
"HealthEquity, Inc.",UT,Business Associate,1549.0,2024-12-20,Hacking/IT Incident,Network Server,Yes,No description provided,2024,12,Moderate,0,83,0
"Vickers Engineering, Inc. ",MI,Health Plan,857.0,2024-12-20,Hacking/IT Incident,Network Server,No,No description provided,2024,12,Low,0,83,1
"AllyScripts, LLC",AL,Healthcare Provider,776.0,2024-12-20,Hacking/IT Incident,Network Server,No,No description provided,2024,12,Low,0,83,3
Youth Eastside Services,WA,Healthcare Provider,501.0,2024-12-20,Hacking/IT Incident,Network Server,No,No description provided,2024,12,Low,0,83,3
"Kansas City Hospice, Inc",MO,Healthcare Provider,3621.0,2024-12-20,Hacking/IT Incident,Network Server,No,No description provided,2024,12,Moderate,0,83,3
"Menorah Life, Inc.",FL,Healthcare Provider,2736.0,2024-12-20,Hacking/IT Incident,Electronic Medical Record,No,No description provided,2024,12,Moderate,0,47,3
BCBS of TX,IL,Health Plan,1028.0,2024-12-20,Unauthorized Access/Disclosure,Paper/Films,No,No description provided,2024,12,Moderate,28,94,1
Aetna ACE,CT,Health Plan,1317.0,2024-12-20,Unauthorized Access/Disclosure,Other Portable Electronic Device,Yes,No description provided,2024,12,Moderate,28,89,1
Alta Resources Corp.,WI,Health Plan,12162.0,2024-12-20,Hacking/IT Incident,Network Server,No,No description provided,2024,12,High,0,83,1
