name_of_covered_entity,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information,business_associate_present,web_description,breach_year,breach_month,severity_level,type_of_breach_encoded,location_of_breached_information_encoded,covered_entity_type_encoded
Richmond University Medical Center,NY,Healthcare Provider,674033.0,2024-12-19,Hacking/IT Incident,Network Server,No,No description provided,2024,12,Critical,0,83,3
Cardiology Associates of Mobile,AL,Healthcare Provider,172678.0,2024-12-19,Hacking/IT Incident,Network Server,No,No description provided,2024,12,Critical,0,83,3
Golden Age Home Health Inc.,OK,Healthcare Provider,2280.0,2024-12-18,Hacking/IT Incident,Network Server,No,No description provided,2024,12,Moderate,0,83,3
"CHCM, Inc. dba College Hospital Costa Mesa",CA,Healthcare Provider,591.0,2024-12-18,Hacking/IT Incident,Network Server,No,No description provided,2024,12,Low,0,83,3
"Ott Cone & Redpath, P.A.",NC,Business Associate,22171.0,2024-12-18,Hacking/IT Incident,Email,Yes,No description provided,2024,12,High,0,66,0
"Indiana University Health, Affiliated Covered Entity",IN,Healthcare Provider,3862.0,2024-12-17,Hacking/IT Incident,Email,No,No description provided,2024,12,Moderate,0,66,3
"PracticeSuite, Inc.",FL,Business Associate,13000.0,2024-12-17,Hacking/IT Incident,Other,Yes,No description provided,2024,12,High,0,88,0
"Regional Care, Inc.",NE,Healthcare Clearing House,225728.0,2024-12-17,Hacking/IT Incident,Network Server,No,No description provided,2024,12,Critical,0,83,2
California Correctional Health Care Services ,CA,Healthcare Provider,1416.0,2024-12-17,Loss,Paper/Films,No,No description provided,2024,12,Moderate,13,94,3
Kitsap Mental Health Services,WA,Healthcare Provider,500.0,2024-12-16,Hacking/IT Incident,Network Server,No,No description provided,2024,12,Low,0,83,3
Massachusetts Department of Mental Health,MA,Healthcare Provider,959.0,2024-12-16,Loss,"Other, Other Portable Electronic Device",No,No description provided,2024,12,Low,13,91,3
Teton Orthopaedics,PA,Healthcare Provider,13409.0,2024-12-16,Hacking/IT Incident,Network Server,No,No description provided,2024,12,High,0,83,3
"VisionPoint Eye Center, PLLC ",IL,Healthcare Provider,66926.0,2024-12-15,Hacking/IT Incident,Network Server,No,No description provided,2024,12,High,0,83,3
Brockton Neighborhood Health Center,MA,Healthcare Provider,97488.0,2024-12-13,Hacking/IT Incident,Network Server,No,No description provided,2024,12,High,0,83,3
"Summit Medical Group, PLLC",TN,Healthcare Provider,464159.0,2024-12-13,Hacking/IT Incident,Email,No,No description provided,2024,12,Critical,0,66,3
Northwest Asthma and Allergy Center,WA,Healthcare Provider,1000.0,2024-12-12,Hacking/IT Incident,Email,No,No description provided,2024,12,Moderate,0,66,3
"ConnectOnCall.com, LLC",DE,Business Associate,914138.0,2024-12-11,Hacking/IT Incident,Network Server,Yes,No description provided,2024,12,Critical,0,83,0
"El Paso Healthcare System, Ltd. d/b/a Las Palmas Del Sol Healthcare",TX,Healthcare Provider,1854.0,2024-12-11,Unauthorized Access/Disclosure,Electronic Medical Record,No,No description provided,2024,12,Moderate,28,47,3
Insured Recovery,TN,Healthcare Provider,850.0,2024-12-11,Hacking/IT Incident,Network Server,No,No description provided,2024,12,Low,0,83,3
River Region Cardiology,AL,Healthcare Provider,48600.0,2024-12-11,Hacking/IT Incident,Network Server,No,No description provided,2024,12,High,0,83,3
"Rumpke Consolidated Companies, Inc. & Affiliates Benefits Plan",OH,Health Plan,16946.0,2024-12-10,Hacking/IT Incident,Network Server,No,No description provided,2024,12,High,0,83,1
Hartson-Kennedy Inc. Group Benefit Plan,IN,Health Plan,619.0,2024-12-09,Hacking/IT Incident,Network Server,No,No description provided,2024,12,Low,0,83,1
UT Southwestern Medical Center,TX,Healthcare Provider,43048.0,2024-12-09,Unauthorized Access/Disclosure,Email,No,No description provided,2024,12,High,28,66,3
Center for Vein Restoration,MD,Business Associate,446094.0,2024-12-05,Hacking/IT Incident,Network Server,Yes,No description provided,2024,12,Critical,0,83,0
Veterans Health Administration,DC,Healthcare Provider,2302.0,2024-12-03,Hacking/IT Incident,Network Server,Yes,No description provided,2024,12,Moderate,0,83,3
"FC Compassus, LLC",TN,Healthcare Provider,2703.0,2024-12-02,Hacking/IT Incident,Email,Yes,No description provided,2024,12,Moderate,0,66,3
Village of Elm Grove,WI,Healthcare Provider,668.0,2024-12-02,Hacking/IT Incident,Network Server,No,No description provided,2024,12,Low,0,83,3
SAG-AFTRA Health Plan,CA,Health Plan,35592.0,2024-12-02,Hacking/IT Incident,Email,No,No description provided,2024,12,High,0,66,1
Atrium Health,NC,Healthcare Provider,585959.0,2024-12-02,Unauthorized Access/Disclosure,Network Server,No,No description provided,2024,12,Critical,28,83,3
"Jefferson Dental Center, Inc.",IN,Healthcare Provider,12340.0,2024-11-27,Hacking/IT Incident,Network Server,No,No description provided,2024,11,High,0,83,3
Hardin County Emergency Medical Services,KY,Healthcare Provider,1046.0,2024-11-27,Hacking/IT Incident,Email,No,No description provided,2024,11,Moderate,0,66,3
Colonial Behavioral Health,VA,Healthcare Provider,29930.0,2024-11-27,Hacking/IT Incident,Network Server,No,No description provided,2024,11,High,0,83,3
"Continental Cafe Holdings, LLC Health Plan",MI,Health Plan,5039.0,2024-11-27,Hacking/IT Incident,Network Server,No,No description provided,2024,11,Moderate,0,83,1
Georgia Department of Public Health,GA,Healthcare Provider,500.0,2024-11-26,Hacking/IT Incident,Email,No,No description provided,2024,11,Low,0,66,3
Texas Tech University Health Sciences Center El Paso,TX,Healthcare Provider,815000.0,2024-11-25,Hacking/IT Incident,Network Server,No,No description provided,2024,11,Critical,0,83,3
Texas Tech University Health Sciences Center,TX,Healthcare Provider,650000.0,2024-11-25,Hacking/IT Incident,Network Server,No,No description provided,2024,11,Critical,0,83,3
Citadel of Northbrook,IL,Healthcare Provider,2155.0,2024-11-25,Hacking/IT Incident,"Electronic Medical Record, Network Server",Yes,No description provided,2024,11,Moderate,0,60,3
Pavilion of Bridgeview,IL,Healthcare Provider,1407.0,2024-11-25,Hacking/IT Incident,Electronic Medical Record,Yes,No description provided,2024,11,Moderate,0,47,3
"American Addiction Centers, Inc.",TN,Business Associate,410747.0,2024-11-25,Hacking/IT Incident,Network Server,Yes,No description provided,2024,11,Critical,0,83,0
Conceptions Reproductive Associates of Colorado,CO,Healthcare Provider,80000.0,2024-11-25,Hacking/IT Incident,Network Server,No,No description provided,2024,11,High,0,83,3
"Ardon Health, LLC (“Ardon”)",OR,Healthcare Provider,10098.0,2024-11-22,Hacking/IT Incident,Email,No,No description provided,2024,11,High,0,66,3
"Vann Virginia Center for Orthopaedics, PC dba Atlantic Orthopaedic Specialists",VA,Healthcare Provider,15264.0,2024-11-22,Hacking/IT Incident,Email,No,No description provided,2024,11,High,0,66,3
"East Paris Internal Medicine Associates, PC",MI,Healthcare Provider,5239.0,2024-11-22,Unauthorized Access/Disclosure,Email,No,No description provided,2024,11,Moderate,28,66,3
Lubbock County Hospital District,TX,Healthcare Provider,501.0,2024-11-22,Hacking/IT Incident,Network Server,No,No description provided,2024,11,Low,0,83,3
"Green Castle Recovery Center DBA, Sanford Behavioral Health",MI,Healthcare Provider,703.0,2024-11-22,Hacking/IT Incident,Email,No,No description provided,2024,11,Low,0,66,3
Pinnacle Claims Management,CA,Business Associate,1119.0,2024-11-21,Hacking/IT Incident,Network Server,Yes,No description provided,2024,11,Moderate,0,83,0
"East Central Missouri Behavioral Health Services, Inc.",MO,Healthcare Provider,20000.0,2024-11-21,Hacking/IT Incident,Network Server,No,No description provided,2024,11,High,0,83,3
York County ,PA,Healthcare Provider,501.0,2024-11-20,Hacking/IT Incident,Email,No,No description provided,2024,11,Low,0,66,3
Laboratory Services Cooperative ,WA,Healthcare Provider,501.0,2024-11-20,Hacking/IT Incident,Network Server,No,No description provided,2024,11,Low,0,83,3
"Enso Counseling Group, PLLC",NH,Healthcare Provider,850.0,2024-11-20,Hacking/IT Incident,Email,No,No description provided,2024,11,Low,0,66,3
AuthoraCare Collective,NC,Healthcare Provider,57944.0,2024-11-19,Unauthorized Access/Disclosure,Network Server,No,No description provided,2024,11,High,28,83,3
Athens County Bd of Dev. Disabilities ,OH,Healthcare Provider,3100.0,2024-11-19,Hacking/IT Incident,Network Server,No,No description provided,2024,11,Moderate,0,83,3
"The Arbors Operator, LLC",IN,Healthcare Provider,2808.0,2024-11-18,Hacking/IT Incident,"Electronic Medical Record, Network Server",Yes,No description provided,2024,11,Moderate,0,60,3
Terrace of Hialeah,FL,Healthcare Provider,1177.0,2024-11-18,Hacking/IT Incident,Network Server,Yes,No description provided,2024,11,Moderate,0,83,3
"Dolton Nursing & Rehab, LLC",IL,Healthcare Provider,1559.0,2024-11-18,Hacking/IT Incident,"Electronic Medical Record, Network Server",Yes,No description provided,2024,11,Moderate,0,60,3
"Berkshire Nursing & Rehab Center, LLC",IL,Healthcare Provider,4237.0,2024-11-18,Hacking/IT Incident,Network Server,Yes,No description provided,2024,11,Moderate,0,83,3
"Aperion Care Marseilles, LLC",IL,Healthcare Provider,1052.0,2024-11-18,Hacking/IT Incident,Network Server,Yes,No description provided,2024,11,Moderate,0,83,3
Villa St. Francis Catholic Care Center,KS,Healthcare Provider,2522.0,2024-11-18,Unauthorized Access/Disclosure,Electronic Medical Record,Yes,No description provided,2024,11,Moderate,28,47,3
Village Pharmacy Group,MA,Healthcare Provider,584.0,2024-11-18,Hacking/IT Incident,Email,No,No description provided,2024,11,Low,0,66,3
Option Care Health,IL,Healthcare Provider,2897.0,2024-11-15,Hacking/IT Incident,Email,No,"The covered entity (CE), Option Care Health, reported that an employee was the subject of an email phishing scheme that compromised the protected health information (PHI) of 2,897 individuals. The PHI involved included Social Security numbers, birthdates, addresses, and diagnoses. The CE notified HHS, affected individuals, and the media. In response to the breach, the CE sanctioned and retrained the workforce member involved.",2024,11,Moderate,0,66,3
"HealthFund Solutions, LLC",FL,Business Associate,5198.0,2024-11-15,Hacking/IT Incident,Email,Yes,No description provided,2024,11,Moderate,0,66,0
"ESHA, Inc.",TX,Business Associate,76922.0,2024-11-15,Hacking/IT Incident,Network Server,Yes,No description provided,2024,11,High,0,83,0
"Equinox, Inc. ",NY,Healthcare Provider,21565.0,2024-11-15,Hacking/IT Incident,Network Server,No,No description provided,2024,11,High,0,83,3
"Maternal Fetal Medicine Associates, PLLC, Carnegie Hill Imaging for Women, and Carnegie Women’s Health (collectively, “the Practices”)",NY,Healthcare Provider,501.0,2024-11-15,Hacking/IT Incident,Network Server,No,No description provided,2024,11,Low,0,83,3
"athenahealth, Inc.",MA,Business Associate,1974.0,2024-11-15,Unauthorized Access/Disclosure,Network Server,Yes,No description provided,2024,11,Moderate,28,83,0
VPS of MI PLLC,MI,Healthcare Provider,20604.0,2024-11-15,Hacking/IT Incident,Network Server,No,No description provided,2024,11,High,0,83,3
ASPEN HEALTHCARE SERVICES INC,TX,Healthcare Provider,7195.0,2024-11-15,Hacking/IT Incident,Electronic Medical Record,No,No description provided,2024,11,Moderate,0,47,3
"TriHealth H, LLC d/b/a TriHealth Physician Partners (“TriHealth”)",OH,Healthcare Provider,36753.0,2024-11-14,Hacking/IT Incident,Electronic Medical Record,Yes,No description provided,2024,11,High,0,47,3
Western Montana Mental Health Center,MT,Healthcare Provider,500.0,2024-11-14,Hacking/IT Incident,Network Server,No,No description provided,2024,11,Low,0,83,3
Physicians' Primary Care of Southwest Florida,FL,Healthcare Provider,500.0,2024-11-14,Hacking/IT Incident,Network Server,No,No description provided,2024,11,Low,0,83,3
"Hopscotch Health Management, LLC",IL,Business Associate,4945.0,2024-11-14,Theft,Paper/Films,Yes,No description provided,2024,11,Moderate,26,94,0
Hospice and Palliative Care Charlotte Region dba VIA Health Partners,NC,Healthcare Provider,777.0,2024-11-14,Hacking/IT Incident,Email,Yes,No description provided,2024,11,Low,0,66,3
"Liberty Endo, LLC",NY,Healthcare Provider,942.0,2024-11-13,Hacking/IT Incident,Email,No,No description provided,2024,11,Low,0,66,3
Rocky Mountain Gastroenterology Associates PLLC ,CO,Healthcare Provider,366491.0,2024-11-13,Hacking/IT Incident,Network Server,No,No description provided,2024,11,Critical,0,83,3
"Radiologic Medical Services, P.C.",IA,Healthcare Provider,56902.0,2024-11-12,Hacking/IT Incident,Email,No,No description provided,2024,11,High,0,66,3
Familylinks Inc.,PA,Healthcare Provider,3775.0,2024-11-12,Hacking/IT Incident,Email,No,No description provided,2024,11,Moderate,0,66,3
Humboldt Independent Practice Association (Humboldt IPA),CA,Healthcare Provider,500.0,2024-11-11,Hacking/IT Incident,Email,No,No description provided,2024,11,Low,0,66,3
"United Seating and Mobility, LLC dba Numotion",TN,Healthcare Provider,2319.0,2024-11-11,Hacking/IT Incident,Email,No,No description provided,2024,11,Moderate,0,66,3
Mid-Minnesota Management Services d/b/a Central Resources,IL,Business Associate,1232.0,2024-11-08,Unauthorized Access/Disclosure,Other,Yes,No description provided,2024,11,Moderate,28,88,0
Huron Inc. Health Plan,MI,Health Plan,750.0,2024-11-08,Unauthorized Access/Disclosure,Network Server,No,No description provided,2024,11,Low,28,83,1
Massachusetts Department of Developmental Services,MA,Healthcare Provider,3800.0,2024-11-08,Hacking/IT Incident,Email,No,No description provided,2024,11,Moderate,0,66,3
Missouri Department of Mental Health,MO,Healthcare Provider,537.0,2024-11-08,Unauthorized Access/Disclosure,Email,No,"The covered entity (CE), Missouri Department of Mental Health, reported that an employee erroneously sent an unencrypted email message containing the protected health information (PHI) of 537 individuals to the wrong individuals. The PHI involved included names, Social Security numbers, addresses, and dates of birth. The CE notified HHS, affected individuals, and the media. In response to the breach, the CE implemented additional administrative, technical, and security safeguards. Staff were retrained.",2024,11,Low,28,66,3
Michigan Masonic Home,MI,Healthcare Provider,500.0,2024-11-08,Hacking/IT Incident,Email,No,No description provided,2024,11,Low,0,66,3
"South West Family Medicine Associates, PA ",TX,Healthcare Provider,36959.0,2024-11-07,Hacking/IT Incident,Network Server,No,No description provided,2024,11,High,0,83,3
Great Plains Regional Medical Center,OK,Healthcare Provider,133149.0,2024-11-07,Hacking/IT Incident,Network Server,No,No description provided,2024,11,Critical,0,83,3
MDLand International Corporation ,NY,Business Associate,63052.0,2024-11-07,Hacking/IT Incident,Electronic Medical Record,Yes,No description provided,2024,11,High,0,47,0
"Orthopedics Rhode Island, Inc. ",CT,Healthcare Provider,500.0,2024-11-06,Hacking/IT Incident,Network Server,No,No description provided,2024,11,Low,0,83,3
Universal Health Corporation,VA,Healthcare Provider,583.0,2024-11-06,Hacking/IT Incident,Email,No,"The covered entity (CE), Universal Health Corporation, reported that an employee was subject to an email phishing scheme that affected the protected health information (PHI) of 583 individuals.  The PHI involved included names, dates of birth, addresses, claims and financial information, diagnoses, lab results, medications and Social Security and drivers’ license numbers. The CE notified HHS, affected individuals, the media, and posted substitute notice on its website.  In its mitigation efforts, the CE implemented additional administrative, technical, and security safeguards to better protect its PHI.  In addition, the CE retrained its workforce members on email security precautions and on the proper methods of identifying fraudulent email communications.",2024,11,Low,0,66,3
Oklahoma Spine Hospital,OK,Healthcare Provider,38945.0,2024-11-05,Unauthorized Access/Disclosure,Email,No,No description provided,2024,11,High,28,66,3
Planned Parenthood of Montana,MT,Healthcare Provider,18003.0,2024-11-05,Hacking/IT Incident,Network Server,No,No description provided,2024,11,High,0,83,3
Thompson Coburn LLP,MO,Business Associate,305088.0,2024-11-04,Hacking/IT Incident,Network Server,Yes,No description provided,2024,11,Critical,0,83,0
Embody Performance & Recovery,MO,Healthcare Provider,1100.0,2024-11-04,Unauthorized Access/Disclosure,Email,No,No description provided,2024,11,Moderate,28,66,3
"Mohawk Valley Cardiology, P.C.",NY,Healthcare Provider,4973.0,2024-11-04,Unauthorized Access/Disclosure,Other,No,No description provided,2024,11,Moderate,28,88,3
Mid-Ohio Psychological Services Inc.,OH,Healthcare Provider,40345.0,2024-11-01,Unauthorized Access/Disclosure,Network Server,No,No description provided,2024,11,High,28,83,3
Brunswick Hospital Center,NY,Healthcare Provider,500.0,2024-11-01,Hacking/IT Incident,Network Server,No,No description provided,2024,11,Low,0,83,3
"Northeast Professional Home Care, Inc.",OH,Healthcare Provider,648.0,2024-11-01,Hacking/IT Incident,Email,No,No description provided,2024,11,Low,0,66,3
"Brain & Eye Connection Vision Clinic, PC",OK,Healthcare Provider,2207.0,2024-11-01,Hacking/IT Incident,Network Server,No,No description provided,2024,11,Moderate,0,83,3
Kaiser Foundation Hospitals,CA,Healthcare Provider,44600.0,2024-11-01,Hacking/IT Incident,Email,No,No description provided,2024,11,High,0,66,3
"Potomac Medical Aesthetics, LLC",MD,Healthcare Provider,2876.0,2024-11-01,Unauthorized Access/Disclosure,Email,No,No description provided,2024,11,Moderate,28,66,3
Rockford Gastroenterology Associates ,IL,Healthcare Provider,147253.0,2024-10-30,Hacking/IT Incident,Network Server,No,No description provided,2024,10,Critical,0,83,3
