ASSET_ID,MAIN_LINE_TYPE,MAIN_CLASS,MAIN_NAME,MATERIAL,PIPE_LENGTH,PIPE_WIDTH,SOIL_TYPE,DATE_RELINED,DATE_OF_CONSTRUCTION,SERVICE_STATUS,PIPE_AGE
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,172.03,600,CLAY,1/1/1961 12:00:00 AM,1961-01-01,IN,65.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,2.44,600,CLAY,1/1/1969 12:00:00 AM,1969-01-01,IN,57.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,0.42,450,CLAY,1/1/1969 12:00:00 AM,1969-01-01,IN,57.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,28.76,600,CLAY,1/1/1961 12:00:00 AM,1961-01-01,IN,65.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,45.33,600,CLAY,1/1/1961 12:00:00 AM,1961-01-01,IN,65.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,0.61,450,CLAY,1/1/1961 12:00:00 AM,1961-01-01,IN,65.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,474.46,600,CLAY,1/1/1961 12:00:00 AM,1961-01-01,IN,65.0
M102,MAINBG,T,NORTH ESSENDON-FOOTSCRAY MAIN,MSCL,1.68,900,CRK,,2012-02-17,IN,14.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,0.28,375,CLAY,1/1/1961 12:00:00 AM,1961-01-01,IN,65.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,84.17,600,CLAY,1/1/1961 12:00:00 AM,1961-01-01,IN,65.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,41.14,600,CLAY,1/1/1961 12:00:00 AM,1961-01-01,IN,65.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSEL,23.58,900,CLAY,1/1/1961 12:00:00 AM,1961-01-01,IN,65.0
M102,MAINBG,T,NORTH ESSENDON-FOOTSCRAY MAIN,MSCL,0.83,225,CRK,,2012-02-17,IN,14.0
M102,MAINBG,T,NORTH ESSENDON-FOOTSCRAY MAIN,MSCL,0.8,225,CRK,,2012-02-17,IN,14.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,2.74,450,CLAY,1/1/1961 12:00:00 AM,1961-01-01,IN,65.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,451.31,600,CLAY,1/1/1961 12:00:00 AM,1961-01-01,IN,65.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,0.9,375,CLAY,1/1/1961 12:00:00 AM,1961-01-01,IN,65.0
M190,MAINBG,T,YAN YEAN-EPPING MAIN,MS,1.99,825,CLAY,1/1/1960 12:00:00 AM,1976-07-19,IN,50.0
M190,OFTAKE,S,YAN YEAN-EPPING MAIN,MSCL,1.99,1150,CLAY,1/1/1960 12:00:00 AM,1976-07-19,IN,50.0
M190,MAINBG,S,YAN YEAN-EPPING MAIN,MS,57.3,300,CLAY,1/1/1960 12:00:00 AM,1960-01-01,IN,66.0
M190,CROSS,S,YAN YEAN-EPPING MAIN,MSCL,6.09,825,CLAY,1/1/1960 12:00:00 AM,1976-07-19,IN,50.0
M190,OFTAKE,S,YAN YEAN-EPPING MAIN,MSCL,3.75,450,CLAY,1/1/1960 12:00:00 AM,1976-07-19,IN,50.0
M190,BYPASS,S,YAN YEAN-EPPING MAIN,MSCL,21.73,450,CLAY,1/1/1960 12:00:00 AM,1976-07-19,IN,50.0
R067,OFTAKE,S,YUROKE RESERVOIR,MS,2.08,900,,,2010-01-01,IN,16.0
R067,OFTAKE,S,YUROKE RESERVOIR,MS,1.62,600,,,2010-01-01,IN,16.0
