Station Name,Station access,Staffed,Escalators,Lift,Independent boarding,Shelter,Low platform,Tactile edges,Hearing Loop,Info screens,Path Widths,Toilet,Parking,Pick up / Drop off
Burnley Station,Yes,Yes,No,No,In Part,No,No,Yes,No,Yes,No,Yes,No,No
East Richmond Station,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
Richmond Station,Yes,Yes,No,No,No,In Part,Yes,Yes,No,Yes,Yes,Yes,No,No
Parliament Station,Yes,Yes,Yes,Yes,In Part,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
Melbourne Central Station,Yes,Yes,Yes,Yes,In Part,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
Flagstaff Station,Yes,Yes,Yes,Yes,In Part,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
Southern Cross Station,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No
Flinders Street Station,Yes,Yes,Yes,Yes,In Part,Yes,In Part,Yes,Yes,Yes,No,Yes,No,No
Mernda Station,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hawkstowe Station,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Middle Gorge Station,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
South Morang Station,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Epping Station,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Lalor Station,Yes,No,No,No,In Part,In Part,No,Yes,No,Yes,No,No,Yes,No
Thomastown Station,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes
Keon Park Station,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
Ruthven Station,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
Reservoir Station,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
Regent Station,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No
Preston Station,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Bell Station,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
