date,Year,Month,day of week,Rainfall_amount_(millimetres)
2/05/2016,2016,May,Monday,0.4
3/05/2016,2016,May,Tuesday,0
4/05/2016,2016,May,Wednesday,0.2
5/05/2016,2016,May,Thursday,0
6/05/2016,2016,May,Friday,0
7/05/2016,2016,May,Saturday,0
8/05/2016,2016,May,Sunday,5.4
9/05/2016,2016,May,Monday,0.8
10/05/2016,2016,May,Tuesday,12
11/05/2016,2016,May,Wednesday,0.2
12/05/2016,2016,May,Thursday,0.2
13/05/2016,2016,May,Friday,0
14/05/2016,2016,May,Saturday,0
15/05/2016,2016,May,Sunday,0
16/05/2016,2016,May,Monday,0
17/05/2016,2016,May,Tuesday,0.2
18/05/2016,2016,May,Wednesday,0
19/05/2016,2016,May,Thursday,0
20/05/2016,2016,May,Friday,1.8
21/05/2016,2016,May,Saturday,0
22/05/2016,2016,May,Sunday,0
23/05/2016,2016,May,Monday,2.2
24/05/2016,2016,May,Tuesday,1.8
25/05/2016,2016,May,Wednesday,0
26/05/2016,2016,May,Thursday,12.4
27/05/2016,2016,May,Friday,4.8
28/05/2016,2016,May,Saturday,0.6
29/05/2016,2016,May,Sunday,4.2
30/05/2016,2016,May,Monday,0
31/05/2016,2016,May,Tuesday,0
1/06/2016,2016,Jun,Wednesday,0
2/06/2016,2016,Jun,Thursday,0
3/06/2016,2016,Jun,Friday,0
4/06/2016,2016,Jun,Saturday,6.2
5/06/2016,2016,Jun,Sunday,3.4
6/06/2016,2016,Jun,Monday,1.4
7/06/2016,2016,Jun,Tuesday,0
8/06/2016,2016,Jun,Wednesday,1.2
9/06/2016,2016,Jun,Thursday,1.4
10/06/2016,2016,Jun,Friday,0
11/06/2016,2016,Jun,Saturday,3
12/06/2016,2016,Jun,Sunday,0.6
13/06/2016,2016,Jun,Monday,0
14/06/2016,2016,Jun,Tuesday,0
15/06/2016,2016,Jun,Wednesday,0
16/06/2016,2016,Jun,Thursday,0
17/06/2016,2016,Jun,Friday,4.2
18/06/2016,2016,Jun,Saturday,8.6
19/06/2016,2016,Jun,Sunday,0.4
20/06/2016,2016,Jun,Monday,3.6
21/06/2016,2016,Jun,Tuesday,3.2
22/06/2016,2016,Jun,Wednesday,0
23/06/2016,2016,Jun,Thursday,0.6
24/06/2016,2016,Jun,Friday,13.8
25/06/2016,2016,Jun,Saturday,2
26/06/2016,2016,Jun,Sunday,0.2
27/06/2016,2016,Jun,Monday,0.2
28/06/2016,2016,Jun,Tuesday,0.2
29/06/2016,2016,Jun,Wednesday,0.2
30/06/2016,2016,Jun,Thursday,0
1/07/2016,2016,Jul,Friday,6.4
2/07/2016,2016,Jul,Saturday,0.2
3/07/2016,2016,Jul,Sunday,0
4/07/2016,2016,Jul,Monday,0
5/07/2016,2016,Jul,Tuesday,0.6
6/07/2016,2016,Jul,Wednesday,22.6
7/07/2016,2016,Jul,Thursday,3.8
8/07/2016,2016,Jul,Friday,0.8
9/07/2016,2016,Jul,Saturday,0.2
10/07/2016,2016,Jul,Sunday,0
11/07/2016,2016,Jul,Monday,3.6
12/07/2016,2016,Jul,Tuesday,0
13/07/2016,2016,Jul,Wednesday,0.4
14/07/2016,2016,Jul,Thursday,1
15/07/2016,2016,Jul,Friday,0
16/07/2016,2016,Jul,Saturday,0
17/07/2016,2016,Jul,Sunday,0
18/07/2016,2016,Jul,Monday,0
19/07/2016,2016,Jul,Tuesday,0
20/07/2016,2016,Jul,Wednesday,1.8
21/07/2016,2016,Jul,Thursday,1.8
22/07/2016,2016,Jul,Friday,7.8
23/07/2016,2016,Jul,Saturday,2.8
24/07/2016,2016,Jul,Sunday,0.8
25/07/2016,2016,Jul,Monday,0
26/07/2016,2016,Jul,Tuesday,4.8
27/07/2016,2016,Jul,Wednesday,0.4
28/07/2016,2016,Jul,Thursday,0
29/07/2016,2016,Jul,Friday,0
30/07/2016,2016,Jul,Saturday,2.4
31/07/2016,2016,Jul,Sunday,2
1/08/2016,2016,Aug,Monday,2.8
2/08/2016,2016,Aug,Tuesday,14.4
3/08/2016,2016,Aug,Wednesday,2.8
4/08/2016,2016,Aug,Thursday,0.8
5/08/2016,2016,Aug,Friday,0
6/08/2016,2016,Aug,Saturday,0
7/08/2016,2016,Aug,Sunday,0
8/08/2016,2016,Aug,Monday,0
9/08/2016,2016,Aug,Tuesday,0
10/08/2016,2016,Aug,Wednesday,0
11/08/2016,2016,Aug,Thursday,8.2
12/08/2016,2016,Aug,Friday,0
13/08/2016,2016,Aug,Saturday,1.6
14/08/2016,2016,Aug,Sunday,0.2
15/08/2016,2016,Aug,Monday,0
16/08/2016,2016,Aug,Tuesday,0
17/08/2016,2016,Aug,Wednesday,0.4
18/08/2016,2016,Aug,Thursday,0
19/08/2016,2016,Aug,Friday,0.2
20/08/2016,2016,Aug,Saturday,9.4
21/08/2016,2016,Aug,Sunday,1.2
22/08/2016,2016,Aug,Monday,5.6
