OBJECTID,Wat Break Incident ID,Incident date,Type of Asset Broken,Does the road need to be closed?,Does the sidewalk need to be closed?,Estimated Hours for Repair,Estimated Number of Units Impacted,CW Service Request Number,Current status of the break,Status last updated date,CW Workorder #,Date operations was returned to normal service,Nature of Break,Apparent cause of break,Repair Type,Type of Planned Maintenance,List Valves Closed,List Valves Opened,List Hydrants Called Out,List Hydrants Called Back In,Categorization of the Break,Road Segment ID,Closest Civic Number,Street,Related Asset ID,Related Asset Depth (m),Depth of Frost (m),Asset Size (cm),Year Asset Installed,Asset Material,Asset Exists,GLOBALID,UPDATE_BY,UPDATE_DATE,x,y
9863,2271,6/9/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,9/19/2017 12:00:00 AM,187066,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,10214,108,HICKSON DR,18650,,,200,1960,CI,Y,6462092d-2f78-4c70-9ea2-c0d4a22e25f0,DAVIDV,11/27/2018 12:00:00 AM,544354.845,4811182.6677
9864,2272,6/16/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,9/19/2017 12:00:00 AM,187617,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,20506,283,WESTWOOD DR,42930,,,300,1971,DI,Y,9667a22f-4f7b-4b0b-bf76-e0d2fc98e496,DAVIDV,11/27/2018 12:00:00 AM,537642.7353,4810065.0389
9865,2273,6/17/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,9/19/2017 12:00:00 AM,187691,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,11272,156,MELROSE AVE,134502,,,300,2017,PVC,N,1d5a9454-4ade-446a-bd5b-a14e842db92f,DAVIDV,11/27/2018 12:00:00 AM,542845.3062,4811297.3006
9866,2274,6/19/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,9/19/2017 12:00:00 AM,187667,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,11680,1290,KING ST E,67760,,,300,2001,PVC,N,ec40214d-7377-4979-8f2f-8ba721e26bea,DAVIDV,11/27/2018 12:00:00 AM,543004.8971,4809890.974
9867,2275,6/28/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,9/19/2017 12:00:00 AM,188310,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,10407,250,SHIRLEY AVE,81288,,,300,2016,DI,Y,edc3045e-9b8f-4ea5-8555-62cf4a02dc84,DAVIDV,11/27/2018 12:00:00 AM,543787.1412,4813061.9721
9868,2276,6/26/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,9/19/2017 12:00:00 AM,188236,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,1696,290,BELMONT AVE W,2050,,,200,1952,CI,N,543b15cd-7872-4852-8c26-e1136f5a1cde,DAVIDV,11/27/2018 12:00:00 AM,539557.421,4810079.73
9869,2277,7/1/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,9/19/2017 12:00:00 AM,188568,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,5528,73,MONTANA CRES,26930,,,150,1986,DI,Y,b254fa28-265b-49dc-957a-9025d9c8cd0c,DAVIDV,11/27/2018 12:00:00 AM,537381.5545,4808254.6755
9870,2278,7/12/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,9/19/2017 12:00:00 AM,189252,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,11737,63,SYDNEY ST S,37400,,,,,,N,bfbde04e-b956-4389-85a3-5eff4059dfe1,DAVIDV,11/27/2018 12:00:00 AM,542883.3462,4809936.5462
9871,2279,7/22/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,9/19/2017 12:00:00 AM,189959,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,6666,85,WEBER ST W,69510,,,300,2003,PVC,Y,6a5fb225-4c17-456f-91dc-1bdcbaf065f7,DAVIDV,11/27/2018 12:00:00 AM,541085.9202,4811345.3008
9872,2280,7/24/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,9/19/2017 12:00:00 AM,190005,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,8634,10,BURN PL,135902,,,150,2017,PVCO,Y,e985d60c-fab1-466c-a1b6-711530bd870a,DAVIDV,11/27/2018 12:00:00 AM,539788.8853,4809850.4267
