Census year,Block ID,CLUE small area,Accommodation,Admin and Support Services,Agriculture and Mining,Arts and Recreation Services,Business Services,Construction,Education and Training,"Electricity, Gas, Water and Waste Services",Finance and Insurance,Food and Beverage Services,Health Care and Social Assistance,Information Media and Telecommunications,Manufacturing,Other Services,Public Administration and Safety,Real Estate Services,Rental and Hiring Services,Retail Trade,"Transport, Postal and Storage",Wholesale Trade,Total floor space in block
2021,436,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,437,West Melbourne (Residential),0,0,0,0,582.15,0,0,0,0,,0,0,0,,0,,0,0,0,0,1457.3
2021,441,West Melbourne (Residential),,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3090.78,0,0,3932.18
2021,443,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,16870.41
2021,501,West Melbourne (Industrial),0,0,0,,7249.83,0,0,0,0,0,0,0,,0,,0,0,0,0,10761.56,31158.79
2021,502,West Melbourne (Industrial),0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,,,207451,29439.96,256354.89
2021,506,North Melbourne,0,,0,0,0,0,0,95.29,0,0,0,0,0,0,0,0,0,0,,,10312.81
2021,509,Kensington,0,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,23511.21
2021,511,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2021,515,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,520,Kensington,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,7708.81
2021,523,Kensington,0,0,0,0,0,0,,0,0,,571.65,0,0,0,0,0,0,,0,0,3347.8
2021,524,Kensington,0,0,0,,,0,0,0,0,715.21,1223.7,0,0,,0,,0,0,,0,3582.61
2021,525,Kensington,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,1083.97
2021,527,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,534,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,537,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,538,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,540,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,545,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,552,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,555,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,556,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,560,Kensington,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,949
2021,562,Kensington,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,567,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,568,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,601,East Melbourne,,0,0,0,0,0,0,0,0,0,,0,0,7492.51,0,0,0,0,0,0,9701.5
2021,604,East Melbourne,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2021,607,East Melbourne,,0,0,0,1672.85,,0,,2839.94,1228.25,3794.47,,,5951.86,0,,0,,,0,17879.79
2021,611,East Melbourne,0,0,0,,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,19822.7
