road_name,location,suburb,speed_limit,average_speed,85th_percentile_speed,maximum_speed,road_segment,datetime,hour,day_of_week,week,year,road_name_encoded,location_encoded,suburb_encoded,Total_Traffic_Volume,month,month_name,day_type,Speeding_Incident,time_of_day
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,17.4,25.8,46.91879065285473,20780,2015-04-17 14:00:00,14,4,16,2015,84,26,0,10.19818325349029,4,April,Weekday,False,Afternoon
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,33.1,44.0,46.91879065285473,20780,2015-04-17 15:00:00,15,4,16,2015,84,26,0,15.292178857593125,4,April,Weekday,False,Afternoon
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,22.0,25.0,46.91879065285473,20780,2015-04-17 17:00:00,17,4,16,2015,84,26,0,16.292178857593125,4,April,Weekday,False,Afternoon
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,24.6,24.0,46.91879065285473,20780,2015-04-18 05:00:00,5,5,16,2015,84,26,0,11.292178857593127,4,April,Weekend,False,Night
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,32.298564176939806,37.90016679055095,46.91879065285473,20780,2015-04-18 06:00:00,6,5,16,2015,84,26,0,96.46956329878134,4,April,Weekend,False,Morning
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,16.1,17.3,46.91879065285473,20780,2015-04-18 09:00:00,9,5,16,2015,84,26,0,12.292178857593127,4,April,Weekend,False,Morning
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,22.3,27.6,46.91879065285473,20780,2015-04-18 11:00:00,11,5,16,2015,84,26,0,16.292178857593125,4,April,Weekend,False,Morning
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,25.2,33.4,46.91879065285473,20780,2015-04-18 13:00:00,13,5,16,2015,84,26,0,17.292178857593125,4,April,Weekend,False,Afternoon
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,25.7,29.4,46.91879065285473,20780,2015-04-18 16:00:00,16,5,16,2015,84,26,0,10.19818325349029,4,April,Weekend,False,Afternoon
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,22.3,23.5,46.91879065285473,20780,2015-04-18 17:00:00,17,5,16,2015,84,26,0,15.292178857593125,4,April,Weekend,False,Afternoon
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,17.6,19.8,46.91879065285473,20780,2015-04-18 23:00:00,23,5,16,2015,84,26,0,8.198183253490289,4,April,Weekend,False,Evening
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,32.298564176939806,37.90016679055095,46.91879065285473,20780,2015-04-19 00:00:00,0,6,16,2015,84,26,0,96.46956329878134,4,April,Weekend,False,Night
