route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"1-V48-mjp-11","T0_7","22.T0.1-V48-mjp-11.8.R","1-V48-mjp-11.8.R","Melbourne","1"
"1-V48-mjp-11","T2_3","22.T2.1-V48-mjp-11.8.R","1-V48-mjp-11.8.R","Melbourne","1"
"1-V48-mjp-11","T0_7","23.T0.1-V48-mjp-11.8.R","1-V48-mjp-11.8.R","Melbourne","1"
"1-V48-mjp-11","T2_3","23.T2.1-V48-mjp-11.8.R","1-V48-mjp-11.8.R","Melbourne","1"
"1-V48-mjp-11","T0_7","24.T0.1-V48-mjp-11.8.R","1-V48-mjp-11.8.R","Melbourne","1"
"1-V48-mjp-11","T2_3","24.T2.1-V48-mjp-11.8.R","1-V48-mjp-11.8.R","Melbourne","1"
"1-V48-mjp-11","T0_7","25.T0.1-V48-mjp-11.8.R","1-V48-mjp-11.8.R","Melbourne","1"
"1-V48-mjp-11","T2_3","25.T2.1-V48-mjp-11.8.R","1-V48-mjp-11.8.R","Melbourne","1"
"1-V48-mjp-11","T0_7","26.T0.1-V48-mjp-11.8.R","1-V48-mjp-11.8.R","Melbourne","1"
"1-V48-mjp-11","T0_7","27.T0.1-V48-mjp-11.8.R","1-V48-mjp-11.8.R","Melbourne","1"
"1-V48-mjp-11","T0_7","28.T0.1-V48-mjp-11.8.R","1-V48-mjp-11.8.R","Melbourne","1"
"1-V48-mjp-11","T0_7","29.T0.1-V48-mjp-11.8.R","1-V48-mjp-11.8.R","Melbourne","1"
"1-V48-mjp-11","T0_7","3.T0.1-V48-mjp-11.3.H","1-V48-mjp-11.3.H","Traralgon","0"
"1-V48-mjp-11","T2_3","3.T2.1-V48-mjp-11.3.H","1-V48-mjp-11.3.H","Traralgon","0"
"1-V48-mjp-11","T3_3","3.T3.1-V48-mjp-11.3.H","1-V48-mjp-11.3.H","Traralgon","0"
"1-V48-mjp-11","T0_7","30.T0.1-V48-mjp-11.8.R","1-V48-mjp-11.8.R","Melbourne","1"
"1-V48-mjp-11","T0_7","31.T0.1-V48-mjp-11.8.R","1-V48-mjp-11.8.R","Melbourne","1"
"1-V48-mjp-11","T0_7","32.T0.1-V48-mjp-11.8.R","1-V48-mjp-11.8.R","Melbourne","1"
"1-V48-mjp-11","T0_7","33.T0.1-V48-mjp-11.9.R","1-V48-mjp-11.9.R","Melbourne","1"
"1-V48-mjp-11","T0_7","34.T0.1-V48-mjp-11.9.R","1-V48-mjp-11.9.R","Melbourne","1"
"1-V48-mjp-11","T0_7","4.T0.1-V48-mjp-11.3.H","1-V48-mjp-11.3.H","Traralgon","0"
"1-V48-mjp-11","T2_3","4.T2.1-V48-mjp-11.3.H","1-V48-mjp-11.3.H","Traralgon","0"
"1-V48-mjp-11","T3_3","4.T3.1-V48-mjp-11.3.H","1-V48-mjp-11.3.H","Traralgon","0"
"1-V48-mjp-11","T0_7","5.T0.1-V48-mjp-11.3.H","1-V48-mjp-11.3.H","Traralgon","0"
"1-V48-mjp-11","T2_3","5.T2.1-V48-mjp-11.3.H","1-V48-mjp-11.3.H","Traralgon","0"
"1-V48-mjp-11","T3_3","5.T3.1-V48-mjp-11.3.H","1-V48-mjp-11.3.H","Traralgon","0"
"1-V48-mjp-11","T0_7","6.T0.1-V48-mjp-11.3.H","1-V48-mjp-11.3.H","Traralgon","0"
"1-V48-mjp-11","T2_3","6.T2.1-V48-mjp-11.3.H","1-V48-mjp-11.3.H","Traralgon","0"
"1-V48-mjp-11","T3_3","6.T3.1-V48-mjp-11.3.H","1-V48-mjp-11.3.H","Traralgon","0"
"1-V48-mjp-11","T0_7","7.T0.1-V48-mjp-11.3.H","1-V48-mjp-11.3.H","Traralgon","0"
"1-V48-mjp-11","T2_3","7.T2.1-V48-mjp-11.3.H","1-V48-mjp-11.3.H","Traralgon","0"
"1-V48-mjp-11","T3_3","7.T3.1-V48-mjp-11.3.H","1-V48-mjp-11.3.H","Traralgon","0"
"1-V48-mjp-11","T0_7","8.T0.1-V48-mjp-11.3.H","1-V48-mjp-11.3.H","Traralgon","0"
"1-V48-mjp-11","T2_3","8.T2.1-V48-mjp-11.3.H","1-V48-mjp-11.3.H","Traralgon","0"
"1-V48-mjp-11","T3_3","8.T3.1-V48-mjp-11.3.H","1-V48-mjp-11.3.H","Traralgon","0"
"1-V48-mjp-11","T0_7","9.T0.1-V48-mjp-11.3.H","1-V48-mjp-11.3.H","Traralgon","0"
"1-V48-mjp-11","T2_3","9.T2.1-V48-mjp-11.3.H","1-V48-mjp-11.3.H","Traralgon","0"
"1-V48-mjp-11","T3_3","9.T3.1-V48-mjp-11.3.H","1-V48-mjp-11.3.H","Traralgon","0"
"1-V48-mjp-2","T0_1","1.T0.1-V48-mjp-2.1.H","1-V48-mjp-2.1.H","Traralgon","0"
"1-V48-mjp-2","T0_1","10.T0.1-V48-mjp-2.3.H","1-V48-mjp-2.3.H","Traralgon","0"
"1-V48-mjp-2","T0_1","11.T0.1-V48-mjp-2.3.H","1-V48-mjp-2.3.H","Traralgon","0"
"1-V48-mjp-2","T0_1","12.T0.1-V48-mjp-2.4.H","1-V48-mjp-2.4.H","Traralgon","0"
"1-V48-mjp-2","T0_1","13.T0.1-V48-mjp-2.5.H","1-V48-mjp-2.5.H","Traralgon","0"
"1-V48-mjp-2","T0_1","14.T0.1-V48-mjp-2.5.H","1-V48-mjp-2.5.H","Traralgon","0"
"1-V48-mjp-2","T0_1","15.T0.1-V48-mjp-2.5.H","1-V48-mjp-2.5.H","Traralgon","0"
"1-V48-mjp-2","T0_1","16.T0.1-V48-mjp-2.5.H","1-V48-mjp-2.5.H","Traralgon","0"
"1-V48-mjp-2","T0_1","17.T0.1-V48-mjp-2.5.H","1-V48-mjp-2.5.H","Traralgon","0"
"1-V48-mjp-2","T0_1","18.T0.1-V48-mjp-2.6.R","1-V48-mjp-2.6.R","Melbourne","1"
"1-V48-mjp-2","T0_1","19.T0.1-V48-mjp-2.7.R","1-V48-mjp-2.7.R","Melbourne","1"
"1-V48-mjp-2","T0_1","2.T0.1-V48-mjp-2.2.H","1-V48-mjp-2.2.H","Traralgon","0"
"1-V48-mjp-2","T0_1","20.T0.1-V48-mjp-2.8.R","1-V48-mjp-2.8.R","Melbourne","1"
"1-V48-mjp-2","T0_1","21.T0.1-V48-mjp-2.8.R","1-V48-mjp-2.8.R","Melbourne","1"
"1-V48-mjp-2","T0_1","22.T0.1-V48-mjp-2.8.R","1-V48-mjp-2.8.R","Melbourne","1"
"1-V48-mjp-2","T0_1","23.T0.1-V48-mjp-2.8.R","1-V48-mjp-2.8.R","Melbourne","1"
"1-V48-mjp-2","T0_1","24.T0.1-V48-mjp-2.8.R","1-V48-mjp-2.8.R","Melbourne","1"
