lastupdated,status_timestamp,zone_number,status_description,parkingbay_id,datetime
2023-08-13T03:16:36+00:00,2023-08-13T02:22:13+00:00,7310.0,Present,6505,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T03:03:32+00:00,,Present,6548,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T02:30:16+00:00,7580.0,Present,6564,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T00:29:35+00:00,7580.0,Present,6570,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-07-14T17:58:57+00:00,7632.0,Unoccupied,6571,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T01:36:13+00:00,7632.0,Unoccupied,6574,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T08:47:44+00:00,7632.0,Unoccupied,6575,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T20:42:20+00:00,7641.0,Present,6577,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T19:46:25+00:00,7641.0,Present,6580,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:25:48+00:00,,Present,6598,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:39:57+00:00,7272.0,Present,6648,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:35:29+00:00,7272.0,Present,6652,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T01:28:45+00:00,7272.0,Present,6655,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:55:33+00:00,,Unoccupied,6657,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-04-19T11:28:21+00:00,7388.0,Present,6709,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:02:10+00:00,,Present,6728,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-11T01:33:42+00:00,7387.0,Present,6774,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T03:03:32+00:00,7461.0,Present,6777,2023-08-13 13:17:40
