Census year,Block ID,CLUE small area,Accommodation and Food Services,Administrative and Support Services,"Agriculture, Forestry and Fishing",Arts and Recreation Services,Construction,Education and Training,"Electricity, Gas, Water and Waste Services",Financial and Insurance Services,Health Care and Social Assistance,Information Media and Telecommunications,Manufacturing,Mining,Other Services,"Professional, Scientific and Technical Services",Public Administration and Safety,"Rental, Hiring and Real Estate Services",Retail Trade,"Transport, Postal and Warehousing",Wholesale Trade,Total establishments in block
2012,2384,North Melbourne,0,4,1,0,0,0,0,1,2,0,2,0,1,1,0,0,2,0,2,16
2012,2501,Kensington,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2012,2503,Kensington,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,2505,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,2511,Kensington,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2012,2512,Kensington,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,2514,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,2517,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,2518,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2012,2519,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,2521,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2012,2524,Kensington,8,1,0,0,0,0,0,0,3,0,2,0,6,0,0,2,15,1,0,38
2012,2535,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,2538,Kensington,0,0,0,0,3,3,0,0,0,0,2,0,3,2,0,1,3,0,0,17
2012,2539,Kensington,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
2012,2541,Kensington,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3
2012,2548,Kensington,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011,1,Melbourne (CBD),7,2,0,4,0,0,1,0,0,0,0,0,4,1,0,0,6,1,0,26
2011,5,Melbourne (CBD),1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,8,0,0,12
2011,12,Melbourne (CBD),23,7,0,2,3,6,2,11,1,3,0,0,7,7,2,1,3,2,0,80
2011,15,Melbourne (CBD),40,12,1,48,0,12,0,8,6,7,36,0,61,37,1,1,57,0,5,332
2011,18,Melbourne (CBD),14,2,0,2,1,0,0,9,0,2,1,1,7,13,2,1,4,2,1,62
2011,21,Melbourne (CBD),7,0,0,0,0,0,1,2,2,1,0,0,3,1,4,1,2,2,0,26
2011,23,Melbourne (CBD),14,11,0,3,1,5,1,18,4,7,0,3,11,36,2,4,7,0,1,128
2011,24,Melbourne (CBD),17,19,0,2,5,8,1,40,3,3,3,2,8,40,1,6,10,4,2,174
2011,27,Melbourne (CBD),15,6,0,1,3,1,2,51,4,3,3,0,11,31,2,3,23,0,0,159
2011,34,Melbourne (CBD),23,66,0,1,0,18,1,57,8,7,19,7,54,126,2,6,29,3,15,442
2011,38,Melbourne (CBD),23,16,0,1,3,5,1,26,81,3,15,0,11,49,2,4,10,2,1,253
2011,43,Melbourne (CBD),21,20,0,0,5,6,0,26,0,2,3,1,12,56,3,4,7,3,0,169
2011,46,Melbourne (CBD),26,6,0,3,0,3,1,1,4,10,0,1,13,13,2,3,41,0,0,127
2011,52,Melbourne (CBD),28,8,0,1,1,3,0,21,3,3,0,0,11,23,8,4,13,2,1,130
2011,61,Melbourne (CBD),11,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,16
2011,62,Melbourne (CBD),11,0,0,0,0,2,1,2,0,0,0,0,2,18,0,0,2,0,0,38
2011,64,Melbourne (CBD),30,12,0,3,1,6,1,4,3,2,0,0,11,51,0,2,26,2,2,156
2011,66,Melbourne (CBD),48,5,0,0,0,6,2,2,2,1,0,0,12,7,0,1,41,0,0,127
2011,71,Melbourne (CBD),2,2,0,0,0,0,0,0,0,0,1,0,3,19,0,0,2,0,0,29
2011,74,Melbourne (CBD),20,13,0,1,0,7,2,7,7,1,3,0,11,68,2,6,25,1,0,174
2011,78,Melbourne (CBD),25,2,0,1,0,0,0,10,2,1,2,0,6,2,13,4,5,0,0,73
2011,82,Melbourne (CBD),10,3,0,0,0,3,1,3,0,2,1,0,2,36,7,3,2,2,0,75
2011,96,Melbourne (CBD),9,1,0,7,0,24,0,1,3,1,1,0,3,0,1,0,1,0,0,52
2011,97,Melbourne (CBD),7,2,0,1,1,2,0,1,1,4,0,0,5,5,0,1,1,0,0,31
2011,104,Melbourne (CBD),15,2,0,0,0,3,2,1,1,1,2,0,7,2,0,2,6,0,0,44
2011,114,Melbourne (CBD),13,0,0,2,2,3,0,0,2,1,0,0,1,3,0,0,23,2,0,52
2011,201,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
