,block_id,geo_point_coords,CLUE,block_area,total_jobs,business_establishments,commercial_area,plot_ratio,residential_area,business/residence_with_largest_floor_area,business/residence_with_second_largest_floor_area,detailed_business_info
136,321,"-37.796360486346835, 144.93911741085117",North Melbourne,10405.586153050963,0,1,0.0,,0.0,,,
137,214,"-37.7966558454475, 144.9683868849316",Carlton,16431.21472863658,88,23,3547.0,0.7897875966161524,9430.0,residence,business,"residence: 9430, business: 1482, public_service: 829"
138,310,"-37.79642514200214, 144.93771775569934",North Melbourne,59928.986339663876,99,11,6840.0,0.11413696435722867,0.0,business,leisure,business: 4290
139,918,"-37.79616022641599, 144.9548353746744",Parkville,15234.870596549292,0,0,0.0,0.6824865432585008,10397.0,residence,business,residence: 10397
140,519,"-37.79757242649941, 144.92494240362552",Kensington,258711.7170262134,118,7,120927.0,0.4674211765251574,0.0,public_service,business,public_service: 120927
141,225,"-37.79607711966313, 144.9719585579086",Carlton,14628.588234386047,19,3,63.0,0.4918649165983046,7132.0,residence,public_service,"residence: 7132, public_service: 63"
142,308,"-37.79560463641517, 144.94579438513466",North Melbourne,25072.48644593102,0,0,0.0,0.23827377153797064,5974.0,residence,business,residence: 5974
143,232,"-37.79605486161452, 144.97468289003513",Carlton,11812.924085201554,25,3,0.0,0.5634100914324416,6655.0,residence,business,residence: 6655
144,543,"-37.794938300038396, 144.92071281345855",Kensington,13423.747844741247,0,0,0.0,0.8575579229680399,11511.0,residence,business,residence: 11511
145,539,"-37.796111618293835, 144.91687275501468",Kensington,171433.8308365911,216,12,10111.0,0.1962049313726062,23525.0,residence,business,"residence: 23525, business: 5921, public_service: 4190"
146,525,"-37.794758632920356, 144.92740590358395",Kensington,16048.22256243024,12,3,0.0,0.5950897308075773,9550.0,residence,business,residence: 9550
147,914,"-37.79497461324422, 144.9563599828758",Parkville,12545.331005269054,16,3,0.0,0.6682343563172579,8383.0,residence,business,residence: 8383
148,2389,"-37.7937110785965, 144.94092755926178",North Melbourne,19843.23486639859,0,2,0.0,0.9736430983218264,19320.0,residence,business,residence: 19320
149,911,"-37.794062069203754, 144.9575012359109",Parkville,7730.107148202615,0,1,0.0,0.7463130659767141,5769.0,residence,business,residence: 5769
150,545,"-37.7934278369361, 144.92269380927732",Kensington,38629.771779763556,0,0,0.0,0.48445468430453803,18714.0,residence,business,residence: 18714
151,230,"-37.7941864027718, 144.97500082204445",Carlton,25817.75972608311,23,9,1871.0,0.6683193244761204,15383.0,residence,public_service,"residence: 15383, public_service: 1079, business: 354"
152,228,"-37.79339630360955, 144.9722175624369",Carlton,33684.41746461949,75,8,1213.0,0.6028084550528441,19092.0,residence,public_service,"residence: 19092, public_service: 724, business: 489"
153,212,"-37.794495660543355, 144.96943191568855",Carlton,133297.93954141045,49,5,66623.0,1.302309879442148,106971.0,residence,public_service,"residence: 106971, public_service: 35068, education: 29735, business: 1820"
154,547,"-37.79228673090661, 144.92469249496594",Kensington,23212.16373285363,0,2,0.0,0.6230398069963812,14462.0,residence,business,residence: 14462
155,2539,"-37.79147548489166, 144.93479311620405",Kensington,5517.919490418848,0,1,0.0,0.5851005981511691,3228.0,residence,business,residence: 3228
156,2513,"-37.79139430507824, 144.92563923940662",Kensington,31891.870677646708,0,0,0.0,0.6346931736226522,20241.0,residence,business,residence: 20241
157,568,"-37.791041423773194, 144.9218794262538",Kensington,19085.43841550362,0,0,0.0,0.3869007073618025,7384.0,residence,business,residence: 7384
