Census year,Block ID,CLUE small area,Commercial Accommodation,Common Area,Community Use,Educational/Research,Entertainment/Recreation - Indoor,Equipment Installation,Hospital/Clinic,House/Townhouse,Institutional Accommodation,Manufacturing,Office,Park/Reserve,Parking - Commercial Covered,Parking - Commercial Uncovered,Parking - Private Covered,Parking - Private Uncovered,"Performances, Conferences, Ceremonies",Private Outdoor Space,Public Display Area,Residential Apartment,Retail - Cars,Retail - Shop,Retail - Showroom,Retail - Stall,Sports and Recreation - Outdoor,Square/Promenade,Storage,Student Accommodation,Transport,Transport/Storage - Uncovered,Unoccupied - Under Construction,Unoccupied - Under Demolition/Condemned,Unoccupied - Under Renovation,Unoccupied - Undeveloped Site,Unoccupied - Unused,Wholesale,Workshop/Studio,Total floor space in block
2012,357,North Melbourne,0,6232,,,,0,0,1803,0,0,6278,0,0,0,2800,0,0,5568,0,12390,,750,0,0,0,0,,,0,0,0,0,0,,5774,,,50349
2012,358,North Melbourne,691,588,0,0,,0,0,5031,0,,1150,0,0,0,,0,,257,0,403,0,545,0,0,0,0,,,0,0,0,0,,0,,0,,12533
2012,359,North Melbourne,0,2950,0,,0,,0,929,0,0,2887,0,0,0,,0,0,1280,0,,0,337,,0,0,0,,0,0,0,0,0,,0,633,0,0,17076
2012,362,North Melbourne,0,2819,0,,649,0,538,,0,0,1683,0,0,0,0,,0,332,0,,,2691,0,0,0,0,1286,,0,0,0,0,,,,0,,21943
2012,364,North Melbourne,,1036,0,0,0,0,0,770,0,0,,0,0,0,,0,0,297,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1872,0,0,9672
2012,365,North Melbourne,0,786,0,0,0,0,0,2947,0,0,1396,,0,0,1092,,0,282,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,,0,,11068
2012,367,North Melbourne,0,,0,,0,0,0,1114,0,0,0,0,0,0,,0,,7043,0,8936,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,23299
2012,369,North Melbourne,0,1154,0,0,771,0,,2124,0,0,1296,0,0,0,1545,0,0,1088,0,4586,0,587,0,0,0,0,1028,0,0,0,0,,0,0,381,0,0,15042
2012,374,North Melbourne,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3499
2012,375,North Melbourne,,12787,0,0,1163,0,,,0,0,4964,0,,0,12781,0,0,3148,0,6846,0,0,0,0,0,0,0,,0,0,0,0,0,0,2855,,0,67923
2012,401,West Melbourne (Residential),0,,0,0,0,0,0,0,0,0,,0,0,0,1995,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10995
2012,408,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2012,412,West Melbourne (Residential),0,,0,,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,5795
2012,418,West Melbourne (Residential),0,0,0,0,0,0,0,1474,0,0,,0,0,0,200,,0,337,0,7905,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,12370
2012,420,West Melbourne (Residential),,1169,0,0,0,0,,10880,0,0,1944,0,0,0,0,,0,6681,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,,25483
2012,421,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2012,422,West Melbourne (Residential),,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2405
2012,424,West Melbourne (Residential),0,,0,0,479,0,279,5484,0,0,,0,0,0,0,0,0,1866,0,723,0,767,0,0,0,0,,0,0,0,0,0,0,0,266,0,0,10207
