,block_id,retail,business,leisure,education,healthcare,manufacture,public_service,farming,residence,non_residential
244,226,0.0,0.0,751.0,0.0,0.0,0.0,85.0,0,9204.0,836.0
245,230,336.0,0.0,0.0,0.0,0.0,0.0,1071.0,0,15653.0,1407.0
246,234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6671.0,0.0
247,237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2224.0,0.0
248,242,0.0,3380.0,4300.0,24624.0,0.0,0.0,2742.0,0,5512.0,35046.0
249,245,2067.0,4179.0,1800.0,0.0,0.0,0.0,17261.0,0,57914.0,25307.0
250,248,0.0,1292.0,1498.0,0.0,0.0,0.0,2603.0,0,15093.0,5393.0
251,255,1056.0,4797.0,2864.0,0.0,0.0,0.0,10869.0,0,36516.0,19586.0
252,256,0.0,3088.0,1439.0,13151.0,0.0,0.0,7562.0,0,7462.0,25240.0
253,273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
254,302,0.0,0.0,0.0,0.0,0.0,0.0,1263.0,0,23637.0,1263.0
255,304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11187.0,0.0
256,310,2158.0,4290.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6448.0
257,312,0.0,3144.0,0.0,0.0,0.0,0.0,0.0,0,1570.0,3144.0
258,313,0.0,5957.0,0.0,0.0,0.0,0.0,0.0,0,12638.0,5957.0
259,315,0.0,0.0,3407.0,0.0,0.0,0.0,41637.0,0,0.0,45044.0
260,317,0.0,0.0,0.0,0.0,0.0,0.0,4438.0,0,17859.0,4438.0
261,319,4613.0,0.0,0.0,0.0,0.0,0.0,23097.0,0,26971.0,27710.0
262,322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
263,324,0.0,0.0,0.0,0.0,0.0,0.0,454.0,0,14017.0,454.0
264,327,0.0,0.0,0.0,0.0,0.0,0.0,7801.0,0,39030.0,7801.0
265,330,0.0,0.0,0.0,0.0,0.0,0.0,1812.0,0,17441.0,1812.0
266,338,0.0,0.0,0.0,0.0,0.0,21860.0,2154.0,0,0.0,24014.0
267,340,0.0,457.0,0.0,0.0,0.0,0.0,0.0,0,4419.0,457.0
268,344,0.0,0.0,0.0,0.0,0.0,0.0,1045.0,0,16225.0,1045.0
269,347,0.0,0.0,0.0,0.0,0.0,0.0,613.0,0,11897.0,613.0
270,350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3760.0,0.0
271,356,0.0,2218.0,0.0,0.0,0.0,0.0,728.0,0,14216.0,2946.0
272,360,571.0,0.0,0.0,0.0,0.0,0.0,349.0,0,2940.0,920.0
273,361,0.0,4062.0,1004.0,0.0,0.0,0.0,3683.0,0,12339.0,8749.0
274,372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2662.0,0.0
275,373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
276,380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5068.0,0.0
277,405,0.0,0.0,0.0,0.0,0.0,0.0,617.0,0,14663.0,617.0
278,409,0.0,0.0,0.0,0.0,0.0,0.0,2415.0,0,12412.0,2415.0
279,410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
280,411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
281,419,0.0,2073.0,0.0,0.0,0.0,0.0,2269.0,0,11211.0,4342.0
282,423,1115.0,0.0,747.0,0.0,0.0,0.0,166.0,0,3693.0,2028.0
283,426,0.0,2003.0,0.0,0.0,0.0,0.0,3057.0,0,5902.0,5060.0
