,Unnamed: 0,block_id,geo_point_coords,CLUE,block_area,total_energy_consumption,total_jobs,business_establishments,commercial_area,energy_consumption_per_sqm,plot_ratio,residential_area,business/residence_with_largest_floor_area,business/residence_with_second_largest_floor_area,detailed_business_info
105,105,245,"-37.80153755385418, 144.96453464929584",Carlton,32726.63231543582,4576.575623,241,37,25307.0,0.05498612129150094,2.5429627818859624,57914.0,residence,public_service,"residence: 57914, public_service: 17261, business: 4179, retail: 2067, leisure: 1800"
106,106,243,"-37.80102068534982, 144.96312298901967",Carlton,19571.80416472008,4230.09685,239,23,19887.0,0.16052521725930705,1.3464309437432938,6464.0,residence,public_service,"residence: 6464, public_service: 5320, education: 5101, business: 3844, healthcare: 3077, leisure: 2545"
107,107,329,"-37.800111470246456, 144.94545115158434",North Melbourne,9700.915024501872,1105.2635231,78,3,1806.0,0.12943657022373198,0.8801030927835052,6731.0,residence,public_service,"residence: 6731, public_service: 1806"
108,108,1012,"-37.8025294326102, 144.93956996808396",North Melbourne,414772.6044611062,16583.70453,317,16,18008.0,0.222298184937934,0.1798530276875006,56590.0,residence,business,"residence: 56590, business: 16133, public_service: 1875"
109,109,236,"-37.79967773056332, 144.97357038204447",Carlton,9491.993657227438,280.1053926,0,2,0.0,0.04390090937597993,0.6720050574228216,6378.0,residence,retail,residence: 6378
110,110,502,"-37.800652113716296, 144.92573443002084",West Melbourne (Industrial),480742.50350401446,9153.631281,588,27,234840.0,0.03499107351069076,0.5441192989170907,26741.0,public_service,residence,"public_service: 213300, residence: 26741, retail: 16266, business: 5274"
111,111,239,"-37.80081563669407, 144.9581532402704",Carlton,21715.963493600808,4799.556846,773,32,41649.0,0.10682248191430162,2.0688464195256735,3276.0,education,public_service,"education: 22329, public_service: 14208, business: 3503, residence: 3276, healthcare: 1609"
112,112,1014,"-37.80208161005879, 144.93457944552992",West Melbourne (Industrial),136987.96380302627,1610.244507,128,10,9687.0,0.06480698788391095,0.18135297509982698,15156.0,residence,business,"residence: 15156, business: 7086, retail: 2083, public_service: 518"
113,113,377,"-37.80006724314703, 144.95344409309723",North Melbourne,32984.1638848296,7360.076023,639,59,35673.0,0.11662916362944886,1.9132306572883822,27433.0,residence,education,"residence: 27433, education: 15904, public_service: 10542, business: 4261, healthcare: 3564, leisure: 1174, retail: 228"
114,114,373,"-37.79953767458787, 144.95044975778382",North Melbourne,7841.154599153888,0.0,0,2,0.0,,,0.0,,,
115,115,503,"-37.799602600108486, 144.93035071609822",Kensington,107587.6153070116,3537.975744,727,56,25306.0,0.13976922468979688,0.23521429168951638,0.0,business,retail,"business: 22690, retail: 2616"
116,116,220,"-37.799659692095894, 144.97092147715713",Carlton,19270.54612270541,532.7072049,21,4,861.0,0.04529972752043597,0.6094447327451998,10883.0,residence,business,"residence: 10883, business: 861"
117,117,316,"-37.79911472841917, 144.9437338655332",North Melbourne,8444.698467409185,0.0,0,1,0.0,,,0.0,,,
118,118,205,"-37.799469804605664, 144.96489302796442",Carlton,32573.733244286603,7599.170493,909,15,10948.0,0.43056263810980794,0.5418291222791883,6701.0,public_service,residence,"public_service: 10450, residence: 6701, leisure: 498"
119,119,517,"-37.79853438075187, 144.928248282109",Kensington,20639.463369534733,153.115358,0,0,0.0,0.013090349075975359,0.5663065070982122,11688.0,residence,retail,residence: 11688
120,120,315,"-37.799167373002646, 144.94155340519785",North Melbourne,72216.68650809467,1145.184393,268,8,45044.0,0.02541958973448184,0.6237398914368008,0.0,public_service,leisure,"public_service: 41637, leisure: 3407"
121,121,235,"-37.798927643323914, 144.97407197345024",Carlton,11115.74433199298,231.8681519,0,0,0.0,0.02229944975383724,0.9319838056680162,10359.0,residence,retail,residence: 10359
122,122,514,"-37.798147343249525, 144.93117124084185",Kensington,13914.508575981035,120.2886562,0,1,0.0,0.022620169651272386,0.38127066264194337,5305.0,residence,retail,residence: 5305
123,123,325,"-37.79784713998904, 144.94539136308597",North Melbourne,18027.057539610152,437.5017609,0,0,2804.0,0.023294243070362472,1.0406612303766571,15956.0,residence,public_service,"residence: 15956, public_service: 2804"
124,124,528,"-37.79754622943549, 144.9204721810879",Kensington,26626.653168156656,256.2202309,0,2,0.0,0.013852813852813853,0.6940584391196575,18480.0,residence,retail,residence: 18480
125,125,516,"-37.797430071993105, 144.9301277877918",Kensington,24946.7763190395,217.8050987,0,0,0.0,0.014079024200350353,0.6178545658622625,15413.0,residence,retail,residence: 15413
126,126,380,"-37.79746900509073, 144.95113605503298",North Melbourne,10105.406574596966,280.6801083,0,2,0.0,0.055248618784530384,0.5015338941118258,5068.0,residence,retail,residence: 5068
127,127,313,"-37.79823498059318, 144.9390616188566",North Melbourne,110992.21124881152,6018.067985,230,5,5957.0,0.323635385856413,0.1675345970880784,12638.0,residence,business,"residence: 12638, business: 5957"
128,128,922,"-37.796581900268684, 144.9524875324197",Parkville,73481.52668982682,984.3333571,51,12,2863.0,0.02491202308919213,0.5375403165444128,36636.0,residence,business,"residence: 36636, business: 2103, public_service: 760"
129,129,538,"-37.796356667524314, 144.9197030433231",Kensington,5512.018492553802,62.67884863,0,1,0.0,0.005038602194229988,2.232402031930334,12305.0,residence,retail,residence: 12305
130,130,324,"-37.79634719635519, 144.9456594178483",North Melbourne,24162.79055262982,230.7437707,0,1,454.0,0.015893856678874992,0.5989156526777585,14017.0,residence,public_service,"residence: 14017, public_service: 454"
131,131,530,"-37.79656681706763, 144.92046835491843",Kensington,18093.560058265124,106.8049276,0,3,0.0,,,0.0,,,
132,132,509,"-37.79769384930326, 144.93243216727348",Kensington,36508.63433838086,3633.272557,60,4,0.0,,,0.0,,,
133,133,520,"-37.79588298839757, 144.92688273610182",Kensington,4645.067152582062,276.29187729,13,3,13584.0,0.002191015249783677,27.119268030139935,112385.0,residence,public_service,"residence: 112385, public_service: 13584"
134,134,521,"-37.79664124785237, 144.92961348609333",Kensington,28786.6656846526,228.4210924,0,0,0.0,0.013021874464561083,0.6082470645452651,17509.0,residence,retail,residence: 17509
135,135,319,"-37.797254405378766, 144.94210323559938",North Melbourne,82585.79742985265,8534.352589,229,11,27710.0,0.15606883561017537,0.6621178180056911,26971.0,residence,public_service,"residence: 26971, public_service: 23097, retail: 4613"
136,136,321,"-37.796360486346835, 144.93911741085117",North Melbourne,10405.586153050965,6275.038376,0,1,0.0,,,0.0,,,
137,137,214,"-37.7966558454475, 144.9683868849316",Carlton,16431.21472863658,1159.427996,81,20,3175.0,0.08595372293088105,0.820643904814071,10309.0,residence,business,"residence: 10309, business: 1657, retail: 896, public_service: 622"
138,138,310,"-37.79642514200214, 144.93771775569934",North Melbourne,59928.98633966388,2732.804499,142,9,6448.0,0.423697270471464,0.10759578160459218,0.0,business,retail,"business: 4290, retail: 2158"
139,139,918,"-37.79616022641599, 144.9548353746744",Parkville,15234.870596549292,156.4105748,0,0,0.0,0.015004328171587958,0.6824865432585008,10397.0,residence,retail,residence: 10397
140,140,519,"-37.79757242649941, 144.92494240362552",Kensington,258711.7170262134,2546.376043,156,7,3336.0,0.763189448441247,0.012894697171747625,0.0,public_service,retail,public_service: 3336
141,141,225,"-37.79607711966313, 144.9719585579086",Carlton,14628.588234386048,385.2644918,37,9,691.0,0.040987969764718406,0.6421246923707957,8702.0,residence,retail,"residence: 8702, retail: 367, public_service: 324"
142,142,308,"-37.79560463641517, 144.94579438513466",North Melbourne,25072.48644593102,329.6643006,0,0,0.0,0.052724358974358974,0.2488832163369496,6240.0,residence,retail,residence: 6240
143,143,232,"-37.79605486161452, 144.97468289003513",Carlton,11812.924085201554,650.8093057,29,4,0.0,0.0961254066844129,0.5724686759227904,6762.0,residence,retail,residence: 6762
144,144,543,"-37.794938300038396, 144.92071281345855",Kensington,13423.747844741249,163.27425485,0,0,0.0,0.014160368343323777,0.8575579229680399,11511.0,residence,retail,residence: 11511
145,145,539,"-37.796111618293835, 144.91687275501468",Kensington,171433.8308365911,1722.511457,100,5,9350.0,0.052072938401524084,0.19289751681414896,23719.0,residence,public_service,"residence: 23719, public_service: 9350"
146,146,525,"-37.794758632920356, 144.92740590358395",Kensington,16048.22256243024,433.1774708,19,3,0.0,0.04534031413612565,0.5950897308075773,9550.0,residence,retail,residence: 9550
147,147,914,"-37.79497461324422, 144.9563599828758",Parkville,12545.331005269054,253.9742658,24,3,0.0,0.029820839226779822,0.6762853726584297,8484.0,residence,retail,residence: 8484
148,148,2389,"-37.7937110785965, 144.94092755926178",North Melbourne,19843.23486639859,1159.10986464,0,2,0.0,0.057964491122780695,1.0076601320364864,19995.0,residence,retail,residence: 19995
149,149,911,"-37.794062069203754, 144.9575012359109",Parkville,7730.107148202615,130.5268789,0,1,0.0,0.029037301764574492,0.5791720569210866,4477.0,residence,retail,residence: 4477
150,150,545,"-37.7934278369361, 144.92269380927732",Kensington,38629.77177976356,181.2361401,0,0,0.0,0.009671903387837983,0.48445468430453803,18714.0,residence,retail,residence: 18714
151,151,230,"-37.7941864027718, 144.97500082204445",Carlton,25817.75972608311,513.9344116,25,7,1407.0,0.03007033997655334,0.6608048959987605,15653.0,residence,public_service,"residence: 15653, public_service: 1071, retail: 336"
152,152,228,"-37.79339630360955, 144.9722175624369",Carlton,33684.41746461949,1306.308315,118,3,736.0,0.06560506354548651,0.5909927562047262,19171.0,residence,public_service,"residence: 19171, public_service: 736"
