Geo Point,Suburb,Latitude,Longitude,Geo Shape,total_2011,p_com_2011,p_res_2026,p_com_2026,total_2026,p_com_2021,property_id,p_res_2011,total_2016,total_2021,p_res_2021,floor_area,p_res_2016,p_com_2016
"-37.810498657737625, 144.9876600863891",East Melbourne,-37.810499,144.98766,"{""coordinates"": [[[[144.98757289846765, -37.810258445291474], [144.98769247794587, -37.81027075420829], [144.98782306458872, -37.81028476597914], [144.98774651404736, -37.81073957015719], [144.98749760546963, -37.810712813885786], [144.98757289846765, -37.810258445291474]]]], ""type"": ""MultiPolygon""}",9.21399e-06,0.0,0.0,0.0,0.0,0.0,100371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"-37.810726936402475, 144.98859080375462",East Melbourne,-37.810727,144.988591,"{""coordinates"": [[[[144.98851626665527, -37.8108223109016], [144.98854955850783, -37.810618946205715], [144.9886653345587, -37.81063171816376], [144.98863211870452, -37.81083476337371], [144.98851626665527, -37.8108223109016]]]], ""type"": ""MultiPolygon""}",3.65996741454,0.0,21.413780032,0.0,21.413780032,0.0,100378.0,3.65996741454,16.4421358188,18.8476225394,18.8476225394,174.4,16.4421358188,0.0
"-37.82868079285402, 144.9851373745057",Richmond,-37.828681,144.985137,"{""coordinates"": [[[[144.98538176535052, -37.828608442786546], [144.98534203987222, -37.82881835635605], [144.98489104972117, -37.82876207463734], [144.98493289651734, -37.82854372557545], [144.98535878374187, -37.82859537808241], [144.98538176535052, -37.828608442786546]]]], ""type"": ""MultiPolygon""}",199.743602312,140.67802,288.875296841,1040.929774,1329.80507084,754.595391,100386.0,59.0655823122,677.468924883,1007.03279513,252.437404134,1152.94,219.691308883,457.777616
"-37.830010058773766, 144.9868805276503",Richmond,-37.83001,144.986881,"{""coordinates"": [[[[144.98703506772287, -37.829994475840145], [144.98685349184765, -37.83011347343328], [144.98677620688426, -37.83010406292281], [144.98675905567185, -37.82995272065731], [144.98683794582348, -37.82996351399548], [144.98693507447203, -37.82989725308751], [144.98703506772287, -37.829994475840145]]]], ""type"": ""MultiPolygon""}",9.63693e-06,0.0,0.0,0.0,0.0,0.0,100393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"-37.83017560845242, 144.98698939212866",Richmond,-37.830176,144.986989,"{""coordinates"": [[[[144.98685349184765, -37.83011347343328], [144.98703506772287, -37.829994475840145], [144.98720284398377, -37.83015760153404], [144.986846366732, -37.83039107451541], [144.98684761173098, -37.83034255390738], [144.98684931579763, -37.83033570706568], [144.98685589719207, -37.830254969610486], [144.98684988444276, -37.83025400797472], [144.98684989799725, -37.8302534675003], [144.98685349184765, -37.83011347343328]]]], ""type"": ""MultiPolygon""}",45.5950612212,0.0,222.994270464,0.0,222.994270464,0.0,100394.0,45.5950612212,169.588413019,194.866419483,194.866419483,890.0,169.588413019,0.0
"-37.79890537203519, 144.92697563647712",Kensington,-37.798905,144.926976,"{""coordinates"": [[[[144.9271526495089, -37.79886209689375], [144.92686995956754, -37.79902621670172], [144.92679858424273, -37.79894886423243], [144.9270810460819, -37.798784489150094], [144.9271526495089, -37.79886209689375]]]], ""type"": ""MultiPolygon""}",4.89439436882,0.0,36.4926510833,0.0,36.4926510833,0.0,100408.0,4.89439436882,28.1833536534,32.1668526223,32.1668526223,246.0,28.1833536534,0.0
"-37.79883871380932, 144.92756499691592",West Melbourne,-37.798839,144.927565,"{""coordinates"": [[[[144.9274038340452, -37.79890550451306], [144.92768499537465, -37.7987418935991], [144.92771493627637, -37.79877414536924], [144.92774585626358, -37.79880745070962], [144.92773551092617, -37.798813472337], [144.92770462073435, -37.79878019815815], [144.92743476447157, -37.7989385550854], [144.9274038340452, -37.79890550451306]]]], ""type"": ""MultiPolygon""}",1.78267372132,0.0,13.2916322645,0.0,13.2916322645,0.0,100417.0,1.78267372132,10.2651564526,11.7160568901,11.7160568901,89.6,10.2651564526,0.0
"-37.82912276282485, 144.98492991721517",Richmond,-37.829123,144.98493,"{""coordinates"": [[[[144.9850581712687, -37.82900312050088], [144.98500944439368, -37.82926901688837], [144.9848315956649, -37.82924692382013], [144.9848036053381, -37.82921833701848], [144.9848495971691, -37.828978367628544], [144.9850581712687, -37.82900312050088]]]], ""type"": ""MultiPolygon""}",9.63693e-06,0.0,0.0,0.0,0.0,0.0,100420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"-37.832952197337406, 144.98422308681984",Richmond,-37.832952,144.984223,"{""coordinates"": [[[[144.98406530449995, -37.83286129376221], [144.98421549865978, -37.832881513241496], [144.98440981720734, -37.83290767333871], [144.98438315619748, -37.833042069803035], [144.98403610205833, -37.83299774275962], [144.98406530449995, -37.83286129376221]]]], ""type"": ""MultiPolygon""}",3.42150147539,0.0,25.3469293616,0.0,25.3469293616,0.0,100428.0,3.42150147539,19.1318319691,21.8940976478,21.8940976478,318.7,19.1318319691,0.0
"-37.80559286868517, 144.94218791844148",West Melbourne,-37.805593,144.942188,"{""coordinates"": [[[[144.94233586227764, -37.80558115298176], [144.94232611389728, -37.805636464319974], [144.94204048947054, -37.805605031602816], [144.9420505339456, -37.80554896307192], [144.94233586227764, -37.80558115298176]]]], ""type"": ""MultiPolygon""}",36.0193861138,36.019376,0.0,40.118692,40.118692,38.872872,100436.0,0.0,37.55912,38.872872,0.0,0.0,0.0,37.55912
