Asset_Type,Equipment_ID,Date_Install,Longitude,Latitude,STREET_1,STREET_2,Suburb,RMS_Region
VEH ,2434,23-May-91,150.902147095,-34.4262183785,CROWN ST,HARBOUR ST,WOLLONGONG,Southern
VEH ,2435,10-Feb-84,150.817017826,-33.7662178351,CARLISLE AV,KURRAJONG AV,MOUNT DRUITT,Sydney
VEH ,2436,28-Sep-84,151.201207753,-33.8822998048,HARRIS ST,THOMAS ST,ULTIMO,Sydney
VEH ,2437,08-Feb-89,151.129163242,-33.9268728784,HOMER ST,WARDELL RD,EARLWOOD,Sydney
VEH ,2439,05-Nov-84,150.919992571,-33.787860402,BLACKTOWN RD,KEYWORTH DR,BLACKTOWN,Sydney
VEH ,2440,01-Jul-88,151.052736624,-33.9516325527,BELMORE RD,THURLOW ST,RIVERWOOD,Sydney
VEH ,2443,20-Mar-85,151.10056465,-34.0340289595,THE KINGSWAY,CENTRAL RD (E-),MIRANDA,Sydney
VEH ,2444,15-Sep-89,150.71271705,-33.7542637954,PARKER ST,COPELAND ST,LEMONGROVE,Sydney
VEH ,2449,09-Oct-87,150.948146904,-33.9291559955,NEWBRIDGE RD,STOCKTON AV,MOOREBANK,Sydney
VEH ,2450,04-Sep-84,151.155107601,-33.9033323895,SYDENHAM RD,PARK RD,MARRICKVILLE,Sydney
VEH ,2452,02-May-85,151.010072001,-33.944004943,QUEEN ST,BEACONSFIELD ST,REVESBY,Sydney
VEH ,2453,22-Nov-84,150.958563768,-33.8357507638,CUMBERLAND HWY,BRUCE ST,MERRYLANDS WEST,Sydney
VEH ,2454,27-Oct-83,151.055934745,-33.9169437826,WATTLE ST,WATERLOO RD,PUNCHBOWL,Sydney
VEH ,2455,25-Mar-83,150.86126438,-34.580810605,SHELLHARBOUR RD,WATTLE ST,SHELLHARBOUR,Southern
VEH ,2456,16-Nov-83,150.84087252,-34.4591368664,PRINCES HWY,FARMBOROUGH RD,UNANDERRA,Southern
VEH ,2457,10-Feb-89,151.244292952,-33.8310148904,MILITARY RD,RAGLAN ST,MOSMAN,Sydney
VEH ,2458,21-Dec-82,150.605811913,-34.8722075793,EAST ST,MOSS ST,NOWRA,Southern
VEH ,2459,16-Jun-83,150.886778928,-32.2680952827,NEW ENGLAND HWY,SYDNEY ST,MUSWELLBROOK,Hunter
VEH ,2460,29-Jan-02,151.106227946,-33.7033160776,SHERBROOK RD,BURDETT ST,HORNSBY,Sydney
VEH ,2461,02-May-83,151.103291491,-34.0086498415,PRINCES HWY,FORMOSA ST,SYLVANIA,Sydney
VEH ,2462,10-Nov-84,150.918876469,-33.910312297,CUMBERLAND HWY,O'BRIENS PDE,LIVERPOOL,Sydney
VEH ,2464,22-Dec-83,150.931228204,-33.9291413129,HEATHCOTE RD,MOOREBANK AV,MOOREBANK,Sydney
VEH ,2465,18-May-90,151.105625663,-33.7062992035,EDGEWORTH DAVID AV,SHERBROOK RD,HORNSBY,Sydney
VEH ,2466,12-Jul-84,150.811810689,-34.0707396298,MOORE-OXLEY BYPASS,BRADBURY AV,CAMPBELLTOWN,Sydney
VEH ,2468,02-Aug-84,151.041733667,-33.8649921125,OLYMPIC DR,VAUGHAN ST,LIDCOMBE,Sydney
VEH ,2469,26-Mar-85,151.050286465,-33.9174811097,WATTLE ST,NOBLE AV,GREENACRE,Sydney
VEH ,2470,06-Aug-86,150.908538813,-33.927684842,HOXTON PARK RD,FLOWERDALE RD,LIVERPOOL,Sydney
VEH ,2471,29-Apr-83,151.105054821,-34.0112185287,PORT HACKING RD,MELROSE AV,SYLVANIA,Sydney
VEH ,2472,04-Mar-85,151.265688955,-33.7883962607,CONDAMINE ST,BURNT BRIDGE CREEK DEV,MANLY VALE,Sydney
VEH ,2473,15-Mar-85,150.856605534,-34.4536208973,FIVE ISLANDS RD,F6 FWY N/B ON/OFF RAMPS,UNANDERRA,Southern
VEH ,2474,09-Nov-92,151.342153081,-33.4329597898,DANE DR,MASONS PDE,GOSFORD,Hunter
VEH ,2475,12-Dec-97,151.125678287,-33.8879143442,HERCULES ST,BROWN ST,ASHFIELD,Sydney
VEH ,2476,26-Feb-92,150.690543872,-33.7533225885,UNION RD,WORTH ST,PENRITH,Sydney
VEH ,2477,26-Sep-88,151.182560186,-33.7949004157,HELP ST,ANDERSON ST,CHATSWOOD,Sydney
VEH ,2479,29-Jul-83,151.247335939,-33.8923227065,NEWLAND ST,SPRING ST,BONDI JUNCTION,Sydney
