node_id,longitude,latitude,geometry
11752108227,145.1011658,-37.7615957,POINT (145.1011658 -37.7615957)
11752108228,145.1009089,-37.7615403,POINT (145.1009089 -37.7615403)
11752108229,145.1007931,-37.7618594,POINT (145.1007931 -37.7618594)
11752108249,145.0991566,-37.7613643,POINT (145.0991566 -37.7613643)
11752108250,145.0988818,-37.7613099,POINT (145.0988818 -37.7613099)
11752108251,145.0988738,-37.7613585,POINT (145.0988738 -37.7613585)
11752138140,145.1008864,-37.7596497,POINT (145.1008864 -37.7596497)
11752138144,145.1012382,-37.7593646,POINT (145.1012382 -37.7593646)
11752138148,145.1011369,-37.7599414,POINT (145.1011369 -37.7599414)
11752138150,145.1015074,-37.7596656,POINT (145.1015074 -37.7596656)
11752138151,145.1012479,-37.7596154,POINT (145.1012479 -37.7596154)
11752138311,145.1050086,-37.7589157,POINT (145.1050086 -37.7589157)
11752138313,145.1053105,-37.7587406,POINT (145.1053105 -37.7587406)
11752138314,145.1052559,-37.7590646,POINT (145.1052559 -37.7590646)
11752138317,145.105271,-37.7588558,POINT (145.105271 -37.7588558)
11752138318,145.1052573,-37.7589361,POINT (145.1052573 -37.7589361)
11752138319,145.105254,-37.758955,POINT (145.105254 -37.758955)
11752138320,145.1055425,-37.7588858,POINT (145.1055425 -37.7588858)
11752138323,145.1053103,-37.7588753,POINT (145.1053103 -37.7588753)
11752138325,145.1053123,-37.758847,POINT (145.1053123 -37.758847)
11752138388,145.1052376,-37.7573152,POINT (145.1052376 -37.7573152)
11752138389,145.1055397,-37.757377,POINT (145.1055397 -37.757377)
11752138397,145.1057753,-37.7558684,POINT (145.1057753 -37.7558684)
11752138445,145.1052889,-37.7638267,POINT (145.1052889 -37.7638267)
11752138461,145.1057722,-37.7668609,POINT (145.1057722 -37.7668609)
11752138486,145.1076766,-37.7626377,POINT (145.1076766 -37.7626377)
11752138507,145.1072451,-37.7659767,POINT (145.1072451 -37.7659767)
11752138508,145.1072895,-37.7661889,POINT (145.1072895 -37.7661889)
11752378379,145.1435315,-37.7246258,POINT (145.1435315 -37.7246258)
11752378555,145.1432252,-37.7262305,POINT (145.1432252 -37.7262305)
11752378680,145.1429942,-37.7264068,POINT (145.1429942 -37.7264068)
11752457200,144.9914368,-37.6960158,POINT (144.9914368 -37.6960158)
11752513356,145.1790571,-37.7037202,POINT (145.1790571 -37.7037202)
11752513357,145.1792592,-37.7037274,POINT (145.1792592 -37.7037274)
11752513358,145.1805221,-37.7036262,POINT (145.1805221 -37.7036262)
11753223339,145.1056668,-37.6878872,POINT (145.1056668 -37.6878872)
11753223340,145.1052787,-37.6878761,POINT (145.1052787 -37.6878761)
11754649247,145.0542101,-37.6623371,POINT (145.0542101 -37.6623371)
11754649349,145.0976004,-37.6057912,POINT (145.0976004 -37.6057912)
11754649350,145.0974419,-37.6057879,POINT (145.0974419 -37.6057879)
11754649351,145.0974276,-37.6059023,POINT (145.0974276 -37.6059023)
11754649352,145.0975937,-37.6059174,POINT (145.0975937 -37.6059174)
11755063528,145.1191503,-37.5961876,POINT (145.1191503 -37.5961876)
11755083099,145.0615478,-37.6985084,POINT (145.0615478 -37.6985084)
11755623720,145.0474717,-37.6145669,POINT (145.0474717 -37.6145669)
11755623732,145.047784,-37.613955,POINT (145.047784 -37.613955)
11755623735,145.0485407,-37.6145498,POINT (145.0485407 -37.6145498)
11755623738,145.048258,-37.6157422,POINT (145.048258 -37.6157422)
11755623740,145.0481366,-37.6162578,POINT (145.0481366 -37.6162578)
